ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
THURAWAL-1-1,THURAWAL,Thurawal,1,I,NayagaN,,
THURAWAL-2-1,THURAWAL,Thurawal,2,you,5idigaN,,
THURAWAL-3-1,THURAWAL,Thurawal,3,we,5unalin,,
THURAWAL-3-2,THURAWAL,Thurawal,3,we,5ulgaN,,
THURAWAL-11-1,THURAWAL,Thurawal,11,one,midh~aN,,
THURAWAL-12-1,THURAWAL,Thurawal,12,two,bular,,
THURAWAL-12-2,THURAWAL,Thurawal,12,two,bula,,
THURAWAL-21-1,THURAWAL,Thurawal,21,dog,miri,,
THURAWAL-21-2,THURAWAL,Thurawal,21,dog,mirigan,,
THURAWAL-21-3,THURAWAL,Thurawal,21,dog,mirigaN,,
THURAWAL-22-1,THURAWAL,Thurawal,22,louse,guNgal,,
THURAWAL-23-1,THURAWAL,Thurawal,23,tree,gundu,,
THURAWAL-25-1,THURAWAL,Thurawal,25,leaf,dy~ira5,,
THURAWAL-28-1,THURAWAL,Thurawal,28,skin,baga5uN,,
THURAWAL-30-1,THURAWAL,Thurawal,30,blood,Nawu,,
THURAWAL-39-1,THURAWAL,Thurawal,39,ear,guri,,
THURAWAL-40-1,THURAWAL,Thurawal,40,eye,mabura,,
THURAWAL-41-1,THURAWAL,Thurawal,41,nose,nugur,,
THURAWAL-43-1,THURAWAL,Thurawal,43,tooth,yira,,
THURAWAL-44-1,THURAWAL,Thurawal,44,tongue,dh~ala5,,
THURAWAL-47-1,THURAWAL,Thurawal,47,knee,NumuN,,
THURAWAL-48-1,THURAWAL,Thurawal,48,hand,maramal,,
THURAWAL-48-2,THURAWAL,Thurawal,48,hand,maramun,,
THURAWAL-51-1,THURAWAL,Thurawal,51,breast,Nami5aN,,
THURAWAL-53-1,THURAWAL,Thurawal,53,liver,naganuN,,
THURAWAL-54-1,THURAWAL,Thurawal,54,drink,Nunda,,
THURAWAL-57-1,THURAWAL,Thurawal,57,see,nanda,,
THURAWAL-58-1,THURAWAL,Thurawal,58,hear,Narandi,,
THURAWAL-58-2,THURAWAL,Thurawal,58,hear,Narandh~a,,
THURAWAL-61-1,THURAWAL,Thurawal,61,die,bali,,
THURAWAL-66-1,THURAWAL,Thurawal,66,come,yana,,
THURAWAL-66-2,THURAWAL,Thurawal,66,come,yanga,,
THURAWAL-72-1,THURAWAL,Thurawal,72,sun,barara5,,
THURAWAL-72-2,THURAWAL,Thurawal,72,sun,wuru,,
THURAWAL-72-3,THURAWAL,Thurawal,72,sun,wuri,,
THURAWAL-74-1,THURAWAL,Thurawal,74,star,dy~indy~inaraN,,
THURAWAL-74-2,THURAWAL,Thurawal,74,star,dy~indy~iNara,,
THURAWAL-75-1,THURAWAL,Thurawal,75,water,Nady~uN,,
THURAWAL-82-1,THURAWAL,Thurawal,82,fire,ganbi,,
THURAWAL-86-1,THURAWAL,Thurawal,86,mountain,bubara,,
THURAWAL-92-1,THURAWAL,Thurawal,92,night,bara,,
