ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TIANZHU_SHIDONG_NORTHERN_DONG-1-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,1,I,yau,,
TIANZHU_SHIDONG_NORTHERN_DONG-2-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,2,you,5a,,
TIANZHU_SHIDONG_NORTHERN_DONG-3-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,3,we,tau,,
TIANZHU_SHIDONG_NORTHERN_DONG-11-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,11,one,y3t,,
TIANZHU_SHIDONG_NORTHERN_DONG-11-2,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,11,one,yi,,
TIANZHU_SHIDONG_NORTHERN_DONG-12-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,12,two,ya,,
TIANZHU_SHIDONG_NORTHERN_DONG-12-2,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,12,two,5i,,
TIANZHU_SHIDONG_NORTHERN_DONG-18-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,18,person,y3n,,
TIANZHU_SHIDONG_NORTHERN_DONG-19-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,19,fish,ta,,
TIANZHU_SHIDONG_NORTHERN_DONG-21-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,21,dog,kw~a,,
TIANZHU_SHIDONG_NORTHERN_DONG-22-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,22,louse,n3i,,
TIANZHU_SHIDONG_NORTHERN_DONG-25-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,25,leaf,pa,,
TIANZHU_SHIDONG_NORTHERN_DONG-28-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,28,skin,ala,,
TIANZHU_SHIDONG_NORTHERN_DONG-28-2,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,28,skin,ky~a,,
TIANZHU_SHIDONG_NORTHERN_DONG-30-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,30,blood,tat,,
TIANZHU_SHIDONG_NORTHERN_DONG-31-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,31,bone,la7,,
TIANZHU_SHIDONG_NORTHERN_DONG-39-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,39,ear,ka,,
TIANZHU_SHIDONG_NORTHERN_DONG-40-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,40,eye,ta,,
TIANZHU_SHIDONG_NORTHERN_DONG-41-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,41,nose,naN,,
TIANZHU_SHIDONG_NORTHERN_DONG-43-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,43,tooth,py~3n,,
TIANZHU_SHIDONG_NORTHERN_DONG-44-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,44,tongue,ma,,
TIANZHU_SHIDONG_NORTHERN_DONG-48-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,48,hand,my~a,,
TIANZHU_SHIDONG_NORTHERN_DONG-51-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,51,breast,mi,,
TIANZHU_SHIDONG_NORTHERN_DONG-53-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,53,liver,s3m,,
TIANZHU_SHIDONG_NORTHERN_DONG-54-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,54,drink,wum,,
TIANZHU_SHIDONG_NORTHERN_DONG-57-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,57,see,nu,,
TIANZHU_SHIDONG_NORTHERN_DONG-58-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,58,hear,saNka,,
TIANZHU_SHIDONG_NORTHERN_DONG-61-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,61,die,t3i,,
TIANZHU_SHIDONG_NORTHERN_DONG-66-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,66,come,ma,,
TIANZHU_SHIDONG_NORTHERN_DONG-72-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,72,sun,tauw3n,,
TIANZHU_SHIDONG_NORTHERN_DONG-74-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,74,star,s3tmy~an,,
TIANZHU_SHIDONG_NORTHERN_DONG-75-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,75,water,n3m,,
TIANZHU_SHIDONG_NORTHERN_DONG-77-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,77,stone,py~a,,
TIANZHU_SHIDONG_NORTHERN_DONG-77-2,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,77,stone,tin,,
TIANZHU_SHIDONG_NORTHERN_DONG-82-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,82,fire,wi,,
TIANZHU_SHIDONG_NORTHERN_DONG-85-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,85,path,k3n,,
TIANZHU_SHIDONG_NORTHERN_DONG-92-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,92,night,han,,
TIANZHU_SHIDONG_NORTHERN_DONG-96-1,TIANZHU_SHIDONG_NORTHERN_DONG,Tianzhu Shidong Northern Dong,96,new,m3i,,
