ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TIV_1-1-1,TIV_1,Tiv 1,1,I,mo,,
TIV_1-2-1,TIV_1,Tiv 1,2,you,we,,
TIV_1-3-1,TIV_1,Tiv 1,3,we,se,,
TIV_1-11-1,TIV_1,Tiv 1,11,one,mom,,
TIV_1-12-1,TIV_1,Tiv 1,12,two,har,,
TIV_1-19-1,TIV_1,Tiv 1,19,fish,Su,,
TIV_1-21-1,TIV_1,Tiv 1,21,dog,wa,,
TIV_1-23-1,TIV_1,Tiv 1,23,tree,kon,,
TIV_1-28-1,TIV_1,Tiv 1,28,skin,kovo,,
TIV_1-30-1,TIV_1,Tiv 1,30,blood,wamb~e,,
TIV_1-31-1,TIV_1,Tiv 1,31,bone,kuhw~e,,
TIV_1-39-1,TIV_1,Tiv 1,39,ear,to,,
TIV_1-40-1,TIV_1,Tiv 1,40,eye,Se,,
TIV_1-41-1,TIV_1,Tiv 1,41,nose,hiNg~a,,
TIV_1-43-1,TIV_1,Tiv 1,43,tooth,5i,,
TIV_1-44-1,TIV_1,Tiv 1,44,tongue,nomb~or,,
TIV_1-47-1,TIV_1,Tiv 1,47,knee,5u,,
TIV_1-48-1,TIV_1,Tiv 1,48,hand,we,,
TIV_1-54-1,TIV_1,Tiv 1,54,drink,ma,,
TIV_1-57-1,TIV_1,Tiv 1,57,see,neNg~e,,
TIV_1-58-1,TIV_1,Tiv 1,58,hear,uNgw$a,,
TIV_1-61-1,TIV_1,Tiv 1,61,die,kp~e,,
TIV_1-61-2,TIV_1,Tiv 1,61,die,kpw$e,,
TIV_1-66-1,TIV_1,Tiv 1,66,come,va,,
TIV_1-72-1,TIV_1,Tiv 1,72,sun,yaNg~e,,
TIV_1-75-1,TIV_1,Tiv 1,75,water,gere,,
TIV_1-77-1,TIV_1,Tiv 1,77,stone,wen,,
TIV_1-82-1,TIV_1,Tiv 1,82,fire,usu,,
TIV_1-85-1,TIV_1,Tiv 1,85,path,gb~end~a,,
TIV_1-92-1,TIV_1,Tiv 1,92,night,tu,,
TIV_1-100-1,TIV_1,Tiv 1,100,name,ti,,
