ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TLAPANEC_MALINALTEPEC-1-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,1,I,ikh~u*,,
TLAPANEC_MALINALTEPEC-2-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,2,you,ikh~a*,,
TLAPANEC_MALINALTEPEC-3-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,3,we,ikh~a*lo7,,
TLAPANEC_MALINALTEPEC-11-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,11,one,mb~a,,
TLAPANEC_MALINALTEPEC-12-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,12,two,ahma,,
TLAPANEC_MALINALTEPEC-18-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,18,person,Sabo,,
TLAPANEC_MALINALTEPEC-19-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,19,fish,ige,,
TLAPANEC_MALINALTEPEC-21-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,21,dog,Suwa*,,
TLAPANEC_MALINALTEPEC-22-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,22,louse,yaha,,
TLAPANEC_MALINALTEPEC-23-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,23,tree,iSe,,
TLAPANEC_MALINALTEPEC-25-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,25,leaf,ina,,
TLAPANEC_MALINALTEPEC-28-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,28,skin,Sta,,
TLAPANEC_MALINALTEPEC-28-2,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,28,skin,StaNgiyo,,
TLAPANEC_MALINALTEPEC-30-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,30,blood,e7de,,
TLAPANEC_MALINALTEPEC-31-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,31,bone,ico,,
TLAPANEC_MALINALTEPEC-34-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,34,horn,Cehe,,
TLAPANEC_MALINALTEPEC-39-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,39,ear,yau*7,,
TLAPANEC_MALINALTEPEC-40-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,40,eye,idu,,
TLAPANEC_MALINALTEPEC-41-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,41,nose,rakh~a,,
TLAPANEC_MALINALTEPEC-43-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,43,tooth,iyu*,,
TLAPANEC_MALINALTEPEC-44-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,44,tongue,rahwa*7,,
TLAPANEC_MALINALTEPEC-48-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,48,hand,yau*,,
TLAPANEC_MALINALTEPEC-53-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,53,liver,Skiga,,
TLAPANEC_MALINALTEPEC-54-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,54,drink,ya*7,,
TLAPANEC_MALINALTEPEC-57-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,57,see,prigo7,,
TLAPANEC_MALINALTEPEC-57-2,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,57,see,ro7o,,
TLAPANEC_MALINALTEPEC-58-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,58,hear,jau*,,
TLAPANEC_MALINALTEPEC-61-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,61,die,hayu*7,,
TLAPANEC_MALINALTEPEC-66-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,66,come,kh~a,,
TLAPANEC_MALINALTEPEC-72-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,72,sun,akh~a7,,
TLAPANEC_MALINALTEPEC-75-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,75,water,iya,,
TLAPANEC_MALINALTEPEC-77-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,77,stone,ici,,
TLAPANEC_MALINALTEPEC-82-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,82,fire,agu,,
TLAPANEC_MALINALTEPEC-85-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,85,path,hamb~a,,
TLAPANEC_MALINALTEPEC-85-2,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,85,path,ikh~a,,
TLAPANEC_MALINALTEPEC-86-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,86,mountain,huba,,
TLAPANEC_MALINALTEPEC-86-2,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,86,mountain,Snd~u,,
TLAPANEC_MALINALTEPEC-92-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,92,night,mb~ro7o*,,
TLAPANEC_MALINALTEPEC-95-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,95,full,gahni,,
TLAPANEC_MALINALTEPEC-95-2,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,95,full,gati,,
TLAPANEC_MALINALTEPEC-96-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,96,new,noSe7,,
TLAPANEC_MALINALTEPEC-100-1,TLAPANEC_MALINALTEPEC,Tlapanec Malinaltepec,100,name,mb~i7i,,
