ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TOBA_BATAK-1-1,TOBA_BATAK,Toba Batak,1,I,ahu,,
TOBA_BATAK-2-1,TOBA_BATAK,Toba Batak,2,you,hamu,,
TOBA_BATAK-3-1,TOBA_BATAK,Toba Batak,3,we,hita,,
TOBA_BATAK-11-1,TOBA_BATAK,Toba Batak,11,one,sade,,
TOBA_BATAK-12-1,TOBA_BATAK,Toba Batak,12,two,dua,,
TOBA_BATAK-18-1,TOBA_BATAK,Toba Batak,18,person,halak,,
TOBA_BATAK-19-1,TOBA_BATAK,Toba Batak,19,fish,deke,,
TOBA_BATAK-19-2,TOBA_BATAK,Toba Batak,19,fish,ihan,,
TOBA_BATAK-21-1,TOBA_BATAK,Toba Batak,21,dog,biaN,,
TOBA_BATAK-21-2,TOBA_BATAK,Toba Batak,21,dog,panaNg~ai,,
TOBA_BATAK-22-1,TOBA_BATAK,Toba Batak,22,louse,hutu,,
TOBA_BATAK-25-1,TOBA_BATAK,Toba Batak,25,leaf,buluN,,
TOBA_BATAK-28-1,TOBA_BATAK,Toba Batak,28,skin,hulikuliN,,
TOBA_BATAK-30-1,TOBA_BATAK,Toba Batak,30,blood,mudar,,
TOBA_BATAK-31-1,TOBA_BATAK,Toba Batak,31,bone,holiholi,,
TOBA_BATAK-39-1,TOBA_BATAK,Toba Batak,39,ear,piNg~ol,,
TOBA_BATAK-40-1,TOBA_BATAK,Toba Batak,40,eye,mata,,
TOBA_BATAK-40-2,TOBA_BATAK,Toba Batak,40,eye,simaloloN,,
TOBA_BATAK-41-1,TOBA_BATAK,Toba Batak,41,nose,iguN,,
TOBA_BATAK-43-1,TOBA_BATAK,Toba Batak,43,tooth,NiNi,,
TOBA_BATAK-44-1,TOBA_BATAK,Toba Batak,44,tongue,dila,,
TOBA_BATAK-48-1,TOBA_BATAK,Toba Batak,48,hand,taNan,,
TOBA_BATAK-51-1,TOBA_BATAK,Toba Batak,51,breast,susu,,
TOBA_BATAK-53-1,TOBA_BATAK,Toba Batak,53,liver,ateate,,
TOBA_BATAK-54-1,TOBA_BATAK,Toba Batak,54,drink,minim,,
TOBA_BATAK-57-1,TOBA_BATAK,Toba Batak,57,see,mamereN,,
TOBA_BATAK-58-1,TOBA_BATAK,Toba Batak,58,hear,mabege,,
TOBA_BATAK-61-1,TOBA_BATAK,Toba Batak,61,die,mate,,
TOBA_BATAK-66-1,TOBA_BATAK,Toba Batak,66,come,ro,,
TOBA_BATAK-74-1,TOBA_BATAK,Toba Batak,74,star,bitaN,,
TOBA_BATAK-75-1,TOBA_BATAK,Toba Batak,75,water,aek,,
TOBA_BATAK-77-1,TOBA_BATAK,Toba Batak,77,stone,batu,,
TOBA_BATAK-82-1,TOBA_BATAK,Toba Batak,82,fire,api,,
TOBA_BATAK-85-1,TOBA_BATAK,Toba Batak,85,path,dalan,,
TOBA_BATAK-92-1,TOBA_BATAK,Toba Batak,92,night,borNin,,
TOBA_BATAK-96-1,TOBA_BATAK,Toba Batak,96,new,ibaru,,
TOBA_BATAK-100-1,TOBA_BATAK,Toba Batak,100,name,goar,,
