ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TODA-1-1,TODA,Toda,1,I,on,,
TODA-3-1,TODA,Toda,3,we,em,,
TODA-11-1,TODA,Toda,11,one,wid,,
TODA-12-1,TODA,Toda,12,two,ed,,
TODA-18-1,TODA,Toda,18,person,oL,,
TODA-19-1,TODA,Toda,19,fish,min,,
TODA-21-1,TODA,Toda,21,dog,noy,,
TODA-22-1,TODA,Toda,22,louse,pEn,,
TODA-23-1,TODA,Toda,23,tree,kEme5,,
TODA-23-2,TODA,Toda,23,tree,me4,,
TODA-25-1,TODA,Toda,25,leaf,es,,
TODA-28-1,TODA,Toda,28,skin,twis,,
TODA-30-1,TODA,Toda,30,blood,pox,,
TODA-31-1,TODA,Toda,31,bone,eLf,,
TODA-39-1,TODA,Toda,39,ear,kify,,
TODA-41-1,TODA,Toda,41,nose,mutuf,,
TODA-43-1,TODA,Toda,43,tooth,pas,,
TODA-44-1,TODA,Toda,44,tongue,nof,,
TODA-47-1,TODA,Toda,47,knee,migmu,,
TODA-48-1,TODA,Toda,48,hand,koy,,
TODA-53-1,TODA,Toda,53,liver,uruf,,
TODA-54-1,TODA,Toda,54,drink,kudt,,
TODA-54-2,TODA,Toda,54,drink,un,,
TODA-57-1,TODA,Toda,57,see,ko4,,
TODA-58-1,TODA,Toda,58,hear,keL,,
TODA-61-1,TODA,Toda,61,die,soy,,
TODA-66-1,TODA,Toda,66,come,por,,
TODA-72-1,TODA,Toda,72,sun,pis,,
TODA-74-1,TODA,Toda,74,star,min,,
TODA-75-1,TODA,Toda,75,water,nir,,
TODA-77-1,TODA,Toda,77,stone,kas,,
TODA-82-1,TODA,Toda,82,fire,tit,,
TODA-85-1,TODA,Toda,85,path,pak,,
TODA-86-1,TODA,Toda,86,mountain,tit,,
TODA-92-1,TODA,Toda,92,night,iL,,
TODA-96-1,TODA,Toda,96,new,pu8un,,
