ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TONGAN_2-1-1,TONGAN_2,Tongan 2,1,I,au,,
TONGAN_2-2-1,TONGAN_2,Tongan 2,2,you,kimoutolu,,
TONGAN_2-3-1,TONGAN_2,Tongan 2,3,we,kimautolu,,
TONGAN_2-4-1,TONGAN_2,Tongan 2,4,this,eni,,
TONGAN_2-5-1,TONGAN_2,Tongan 2,5,that,ena,,
TONGAN_2-6-1,TONGAN_2,Tongan 2,6,who,hai,,
TONGAN_2-7-1,TONGAN_2,Tongan 2,7,what,haa,,
TONGAN_2-8-1,TONGAN_2,Tongan 2,8,not,ikai,,
TONGAN_2-9-1,TONGAN_2,Tongan 2,9,all,katoa,,
TONGAN_2-10-1,TONGAN_2,Tongan 2,10,many,lahi,,
TONGAN_2-11-1,TONGAN_2,Tongan 2,11,one,taha,,
TONGAN_2-12-1,TONGAN_2,Tongan 2,12,two,ua,,
TONGAN_2-13-1,TONGAN_2,Tongan 2,13,big,lahi,,
TONGAN_2-14-1,TONGAN_2,Tongan 2,14,long,loloa,,
TONGAN_2-15-1,TONGAN_2,Tongan 2,15,small,si7isi7i,,
TONGAN_2-16-1,TONGAN_2,Tongan 2,16,woman,fefine,,
TONGAN_2-17-1,TONGAN_2,Tongan 2,17,man,taNata,,
TONGAN_2-18-1,TONGAN_2,Tongan 2,18,person,taNata,,
TONGAN_2-19-1,TONGAN_2,Tongan 2,19,fish,ika,,
TONGAN_2-20-1,TONGAN_2,Tongan 2,20,bird,manupuna,,
TONGAN_2-21-1,TONGAN_2,Tongan 2,21,dog,kuli,,
TONGAN_2-22-1,TONGAN_2,Tongan 2,22,louse,kutu,,
TONGAN_2-23-1,TONGAN_2,Tongan 2,23,tree,akau,,
TONGAN_2-25-1,TONGAN_2,Tongan 2,25,leaf,lau,,
TONGAN_2-26-1,TONGAN_2,Tongan 2,26,root,aka,,
