ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TSAMAI-1-1,TSAMAI,Tsamai,1,I,ano,,
TSAMAI-2-1,TSAMAI,Tsamai,2,you,ato,,
TSAMAI-3-1,TSAMAI,Tsamai,3,we,oge,,
TSAMAI-11-1,TSAMAI,Tsamai,11,one,doko,,
TSAMAI-12-1,TSAMAI,Tsamai,12,two,laki,,
TSAMAI-18-1,TSAMAI,Tsamai,18,person,kauku,,
TSAMAI-19-1,TSAMAI,Tsamai,19,fish,Xare,,
TSAMAI-21-1,TSAMAI,Tsamai,21,dog,karitu,,
TSAMAI-22-1,TSAMAI,Tsamai,22,louse,kiske,,
TSAMAI-23-1,TSAMAI,Tsamai,23,tree,gorko,,
TSAMAI-25-1,TSAMAI,Tsamai,25,leaf,hoZe,,
TSAMAI-28-1,TSAMAI,Tsamai,28,skin,kabo,,
TSAMAI-30-1,TSAMAI,Tsamai,30,blood,CEid3,,
TSAMAI-31-1,TSAMAI,Tsamai,31,bone,mite,,
TSAMAI-34-1,TSAMAI,Tsamai,34,horn,gasako,,
TSAMAI-39-1,TSAMAI,Tsamai,39,ear,kont~e,,
TSAMAI-40-1,TSAMAI,Tsamai,40,eye,oXiti,,
TSAMAI-41-1,TSAMAI,Tsamai,41,nose,sind~e,,
TSAMAI-43-1,TSAMAI,Tsamai,43,tooth,ilge,,
TSAMAI-44-1,TSAMAI,Tsamai,44,tongue,arako,,
TSAMAI-44-2,TSAMAI,Tsamai,44,tongue,arauko,,
TSAMAI-47-1,TSAMAI,Tsamai,47,knee,lutE,,
TSAMAI-48-1,TSAMAI,Tsamai,48,hand,horko,,
TSAMAI-51-1,TSAMAI,Tsamai,51,breast,amb~e,,
TSAMAI-53-1,TSAMAI,Tsamai,53,liver,tire,,
TSAMAI-54-1,TSAMAI,Tsamai,54,drink,ugi,,
TSAMAI-57-1,TSAMAI,Tsamai,57,see,ema,,
TSAMAI-58-1,TSAMAI,Tsamai,58,hear,Gobo,,
TSAMAI-61-1,TSAMAI,Tsamai,61,die,bare,,
TSAMAI-66-1,TSAMAI,Tsamai,66,come,ugEi,,
TSAMAI-72-1,TSAMAI,Tsamai,72,sun,kaliku,,
TSAMAI-74-1,TSAMAI,Tsamai,74,star,age,,
TSAMAI-75-1,TSAMAI,Tsamai,75,water,and~e,,
TSAMAI-77-1,TSAMAI,Tsamai,77,stone,gako,,
TSAMAI-82-1,TSAMAI,Tsamai,82,fire,kate,,
TSAMAI-85-1,TSAMAI,Tsamai,85,path,zanu,,
TSAMAI-85-2,TSAMAI,Tsamai,85,path,zano,,
TSAMAI-86-1,TSAMAI,Tsamai,86,mountain,oZo,,
TSAMAI-92-1,TSAMAI,Tsamai,92,night,galabo,,
TSAMAI-95-1,TSAMAI,Tsamai,95,full,hoCi,,
TSAMAI-96-1,TSAMAI,Tsamai,96,new,gauditu,,
TSAMAI-100-1,TSAMAI,Tsamai,100,name,mako,,
