ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TSEZ-1-1,TSEZ,Tsez,1,I,di,,
TSEZ-2-1,TSEZ,Tsez,2,you,mi,,
TSEZ-3-1,TSEZ,Tsez,3,we,Eli,,
TSEZ-11-1,TSEZ,Tsez,11,one,sis,,
TSEZ-11-2,TSEZ,Tsez,11,one,sida,,
TSEZ-12-1,TSEZ,Tsez,12,two,"q""X~ano",,
TSEZ-18-1,TSEZ,Tsez,18,person,"ZEk""u",,
TSEZ-19-1,TSEZ,Tsez,19,fish,bEsuro,,
TSEZ-21-1,TSEZ,Tsez,21,dog,XwX$ay,,
TSEZ-22-1,TSEZ,Tsez,22,louse,noci,,
TSEZ-23-1,TSEZ,Tsez,23,tree,Xun,,
TSEZ-23-2,TSEZ,Tsez,23,tree,aZo,,
TSEZ-25-1,TSEZ,Tsez,25,leaf,tLX$ab,,
TSEZ-28-1,TSEZ,Tsez,28,skin,"q""X~ul",,
TSEZ-28-2,TSEZ,Tsez,28,skin,qX~al,,
TSEZ-31-1,TSEZ,Tsez,31,bone,tL~uza,,
TSEZ-34-1,TSEZ,Tsez,34,horn,Silu,,
TSEZ-39-1,TSEZ,Tsez,39,ear,aXy~a,,
TSEZ-40-1,TSEZ,Tsez,40,eye,ozuri,,
TSEZ-41-1,TSEZ,Tsez,41,nose,mX~ali,,
TSEZ-43-1,TSEZ,Tsez,43,tooth,"k""icu",,
TSEZ-44-1,TSEZ,Tsez,44,tongue,mEc,,
TSEZ-47-1,TSEZ,Tsez,47,knee,bECni,,
TSEZ-48-1,TSEZ,Tsez,48,hand,"rEtL""a",,
TSEZ-51-1,TSEZ,Tsez,51,breast,kiki,,
TSEZ-51-2,TSEZ,Tsez,51,breast,Xamori,,
TSEZ-53-1,TSEZ,Tsez,53,liver,Zubi,,
TSEZ-54-1,TSEZ,Tsez,54,drink,XatL~u,,
TSEZ-57-1,TSEZ,Tsez,57,see,iku,,
TSEZ-57-2,TSEZ,Tsez,57,see,ukad,,
TSEZ-58-1,TSEZ,Tsez,58,hear,tEqX~,,
TSEZ-61-1,TSEZ,Tsez,61,die,EXu,,
TSEZ-66-1,TSEZ,Tsez,66,come,aya,,
TSEZ-72-1,TSEZ,Tsez,72,sun,buqX~,,
TSEZ-74-1,TSEZ,Tsez,74,star,ca,,
TSEZ-75-1,TSEZ,Tsez,75,water,Li,,
TSEZ-77-1,TSEZ,Tsez,77,stone,XX~ul,,
TSEZ-82-1,TSEZ,Tsez,82,fire,"c""i",,
TSEZ-85-1,TSEZ,Tsez,85,path,huni,,
TSEZ-86-1,TSEZ,Tsez,86,mountain,Xon,,
TSEZ-92-1,TSEZ,Tsez,92,night,nESiru,,
TSEZ-95-1,TSEZ,Tsez,95,full,"Xuc""araw",,
TSEZ-96-1,TSEZ,Tsez,96,new,"Ec""nu",,
TSEZ-100-1,TSEZ,Tsez,100,name,ci,,
