ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TUBAR-1-1,TUBAR,Tubar,1,I,ene,,
TUBAR-1-2,TUBAR,Tubar,1,I,ine,,
TUBAR-2-1,TUBAR,Tubar,2,you,ipu,,
TUBAR-3-1,TUBAR,Tubar,3,we,ite,,
TUBAR-3-2,TUBAR,Tubar,3,we,iti,,
TUBAR-11-1,TUBAR,Tubar,11,one,xeme,,
TUBAR-12-1,TUBAR,Tubar,12,two,5o*r,,
TUBAR-12-2,TUBAR,Tubar,12,two,5o*xo*r,,
TUBAR-19-1,TUBAR,Tubar,19,fish,kitsut,,
TUBAR-21-1,TUBAR,Tubar,21,dog,tsutsu,,
TUBAR-22-1,TUBAR,Tubar,22,louse,ate*t,,
TUBAR-23-1,TUBAR,Tubar,23,tree,uta,,
TUBAR-25-1,TUBAR,Tubar,25,leaf,samoar,,
TUBAR-25-2,TUBAR,Tubar,25,leaf,samwat,,
TUBAR-28-1,TUBAR,Tubar,28,skin,kutsit,,
TUBAR-28-2,TUBAR,Tubar,28,skin,kw~itsi,,
TUBAR-30-1,TUBAR,Tubar,30,blood,arat,,
TUBAR-30-2,TUBAR,Tubar,30,blood,ava,,
TUBAR-31-1,TUBAR,Tubar,31,bone,xo*tarak,,
TUBAR-34-1,TUBAR,Tubar,34,horn,xamoat,,
TUBAR-39-1,TUBAR,Tubar,39,ear,nakar,,
TUBAR-40-1,TUBAR,Tubar,40,eye,telur,,
TUBAR-40-2,TUBAR,Tubar,40,eye,tilur,,
TUBAR-41-1,TUBAR,Tubar,41,nose,nikiso*r,,
TUBAR-43-1,TUBAR,Tubar,43,tooth,tamo*r,,
TUBAR-43-2,TUBAR,Tubar,43,tooth,tama*r,,
TUBAR-44-1,TUBAR,Tubar,44,tongue,ninir,,
TUBAR-47-1,TUBAR,Tubar,47,knee,to*no*r,,
TUBAR-48-1,TUBAR,Tubar,48,hand,sutur,,
TUBAR-53-1,TUBAR,Tubar,53,liver,yamat,,
TUBAR-54-1,TUBAR,Tubar,54,drink,xe,,
TUBAR-54-2,TUBAR,Tubar,54,drink,ixe,,
TUBAR-61-1,TUBAR,Tubar,61,die,xo,,
TUBAR-61-2,TUBAR,Tubar,61,die,xu,,
TUBAR-66-1,TUBAR,Tubar,66,come,asi,,
TUBAR-66-2,TUBAR,Tubar,66,come,xase,,
TUBAR-72-1,TUBAR,Tubar,72,sun,tata,,
TUBAR-72-2,TUBAR,Tubar,72,sun,tasaLit,,
TUBAR-74-1,TUBAR,Tubar,74,star,so*,,
TUBAR-75-1,TUBAR,Tubar,75,water,vata,,
TUBAR-75-2,TUBAR,Tubar,75,water,bata,,
TUBAR-77-1,TUBAR,Tubar,77,stone,tetat,,
TUBAR-77-2,TUBAR,Tubar,77,stone,terat,,
TUBAR-82-1,TUBAR,Tubar,82,fire,taxamet,,
TUBAR-85-1,TUBAR,Tubar,85,path,wo*ta,,
TUBAR-86-1,TUBAR,Tubar,86,mountain,xait,,
TUBAR-86-2,TUBAR,Tubar,86,mountain,5o*ko*ro*,,
TUBAR-92-1,TUBAR,Tubar,92,night,kirimoaLit,,
TUBAR-96-1,TUBAR,Tubar,96,new,xemesat,,
TUBAR-100-1,TUBAR,Tubar,100,name,temwara,,
