ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TUMBUKA_MALAWI-11-1,TUMBUKA_MALAWI,Tumbuka Malawi,11,one,moza,,
TUMBUKA_MALAWI-12-1,TUMBUKA_MALAWI,Tumbuka Malawi,12,two,bili,,
TUMBUKA_MALAWI-18-1,TUMBUKA_MALAWI,Tumbuka Malawi,18,person,ntu,,
TUMBUKA_MALAWI-19-1,TUMBUKA_MALAWI,Tumbuka Malawi,19,fish,somba,,
TUMBUKA_MALAWI-21-1,TUMBUKA_MALAWI,Tumbuka Malawi,21,dog,yimbwa,,
TUMBUKA_MALAWI-21-2,TUMBUKA_MALAWI,Tumbuka Malawi,21,dog,galu,,
TUMBUKA_MALAWI-21-3,TUMBUKA_MALAWI,Tumbuka Malawi,21,dog,Thewe,,
TUMBUKA_MALAWI-22-1,TUMBUKA_MALAWI,Tumbuka Malawi,22,louse,yinda,,
TUMBUKA_MALAWI-23-1,TUMBUKA_MALAWI,Tumbuka Malawi,23,tree,khuni,,
TUMBUKA_MALAWI-23-2,TUMBUKA_MALAWI,Tumbuka Malawi,23,tree,kuni,,
TUMBUKA_MALAWI-25-1,TUMBUKA_MALAWI,Tumbuka Malawi,25,leaf,hamba,,
TUMBUKA_MALAWI-25-2,TUMBUKA_MALAWI,Tumbuka Malawi,25,leaf,ani,,
TUMBUKA_MALAWI-28-1,TUMBUKA_MALAWI,Tumbuka Malawi,28,skin,kumba,,
TUMBUKA_MALAWI-30-1,TUMBUKA_MALAWI,Tumbuka Malawi,30,blood,dopa,,
TUMBUKA_MALAWI-31-1,TUMBUKA_MALAWI,Tumbuka Malawi,31,bone,wanga,,
TUMBUKA_MALAWI-31-2,TUMBUKA_MALAWI,Tumbuka Malawi,31,bone,wangwa,,
TUMBUKA_MALAWI-34-1,TUMBUKA_MALAWI,Tumbuka Malawi,34,horn,mphondo,,
TUMBUKA_MALAWI-39-1,TUMBUKA_MALAWI,Tumbuka Malawi,39,ear,khutu,,
TUMBUKA_MALAWI-40-1,TUMBUKA_MALAWI,Tumbuka Malawi,40,eye,so,,
TUMBUKA_MALAWI-41-1,TUMBUKA_MALAWI,Tumbuka Malawi,41,nose,mphuno,,
TUMBUKA_MALAWI-43-1,TUMBUKA_MALAWI,Tumbuka Malawi,43,tooth,ino,,
TUMBUKA_MALAWI-44-1,TUMBUKA_MALAWI,Tumbuka Malawi,44,tongue,lime,,
TUMBUKA_MALAWI-44-2,TUMBUKA_MALAWI,Tumbuka Malawi,44,tongue,limi,,
TUMBUKA_MALAWI-47-1,TUMBUKA_MALAWI,Tumbuka Malawi,47,knee,khongono,,
TUMBUKA_MALAWI-47-2,TUMBUKA_MALAWI,Tumbuka Malawi,47,knee,kongono,,
TUMBUKA_MALAWI-51-1,TUMBUKA_MALAWI,Tumbuka Malawi,51,breast,ganga,,
TUMBUKA_MALAWI-51-2,TUMBUKA_MALAWI,Tumbuka Malawi,51,breast,fuba,,
TUMBUKA_MALAWI-53-1,TUMBUKA_MALAWI,Tumbuka Malawi,53,liver,phapo,,
TUMBUKA_MALAWI-54-1,TUMBUKA_MALAWI,Tumbuka Malawi,54,drink,mwa,,
TUMBUKA_MALAWI-57-1,TUMBUKA_MALAWI,Tumbuka Malawi,57,see,wona,,
TUMBUKA_MALAWI-58-1,TUMBUKA_MALAWI,Tumbuka Malawi,58,hear,pulika,,
TUMBUKA_MALAWI-61-1,TUMBUKA_MALAWI,Tumbuka Malawi,61,die,fwa,,
TUMBUKA_MALAWI-66-1,TUMBUKA_MALAWI,Tumbuka Malawi,66,come,fika,,
TUMBUKA_MALAWI-66-2,TUMBUKA_MALAWI,Tumbuka Malawi,66,come,za,,
TUMBUKA_MALAWI-72-1,TUMBUKA_MALAWI,Tumbuka Malawi,72,sun,zuba,,
TUMBUKA_MALAWI-74-1,TUMBUKA_MALAWI,Tumbuka Malawi,74,star,nyenyezi,,
TUMBUKA_MALAWI-75-1,TUMBUKA_MALAWI,Tumbuka Malawi,75,water,aji,,
TUMBUKA_MALAWI-77-1,TUMBUKA_MALAWI,Tumbuka Malawi,77,stone,bwe,,
TUMBUKA_MALAWI-82-1,TUMBUKA_MALAWI,Tumbuka Malawi,82,fire,moto,,
TUMBUKA_MALAWI-85-1,TUMBUKA_MALAWI,Tumbuka Malawi,85,path,nthowa,,
TUMBUKA_MALAWI-86-1,TUMBUKA_MALAWI,Tumbuka Malawi,86,mountain,phiri,,
TUMBUKA_MALAWI-86-2,TUMBUKA_MALAWI,Tumbuka Malawi,86,mountain,phili,,
TUMBUKA_MALAWI-92-1,TUMBUKA_MALAWI,Tumbuka Malawi,92,night,usiku,,
TUMBUKA_MALAWI-95-1,TUMBUKA_MALAWI,Tumbuka Malawi,95,full,zura,,
TUMBUKA_MALAWI-96-1,TUMBUKA_MALAWI,Tumbuka Malawi,96,new,phya,,
TUMBUKA_MALAWI-100-1,TUMBUKA_MALAWI,Tumbuka Malawi,100,name,zina,,
