ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TUTELO-1-1,TUTELO,Tutelo,1,I,wima,,
TUTELO-2-1,TUTELO,Tutelo,2,you,yima,,
TUTELO-3-1,TUTELO,Tutelo,3,we,wima,,
TUTELO-11-1,TUTELO,Tutelo,11,one,no*sa,,
TUTELO-12-1,TUTELO,Tutelo,12,two,no*pa,,
TUTELO-12-2,TUTELO,Tutelo,12,two,ikh~ano*pa,,
TUTELO-21-1,TUTELO,Tutelo,21,dog,Ch~o*ki,,
TUTELO-21-2,TUTELO,Tutelo,21,dog,Ch~o*ti,,
TUTELO-23-1,TUTELO,Tutelo,23,tree,mah~ika,,
TUTELO-23-2,TUTELO,Tutelo,23,tree,oni,,
TUTELO-23-3,TUTELO,Tutelo,23,tree,taskahui,,
TUTELO-23-4,TUTELO,Tutelo,23,tree,wasti,,
TUTELO-23-5,TUTELO,Tutelo,23,tree,wiya*,,
TUTELO-30-1,TUTELO,Tutelo,30,blood,wayi,,
TUTELO-31-1,TUTELO,Tutelo,31,bone,wahu,,
TUTELO-34-1,TUTELO,Tutelo,34,horn,he,,
TUTELO-39-1,TUTELO,Tutelo,39,ear,naxux,,
TUTELO-40-1,TUTELO,Tutelo,40,eye,tasu,,
TUTELO-41-1,TUTELO,Tutelo,41,nose,ph~axti,,
TUTELO-43-1,TUTELO,Tutelo,43,tooth,ihi,,
TUTELO-44-1,TUTELO,Tutelo,44,tongue,leCi,,
TUTELO-48-1,TUTELO,Tutelo,48,hand,haki,,
TUTELO-54-1,TUTELO,Tutelo,54,drink,lakpe,,
TUTELO-54-2,TUTELO,Tutelo,54,drink,olakpe,,
TUTELO-54-3,TUTELO,Tutelo,54,drink,lapeta,,
TUTELO-61-1,TUTELO,Tutelo,61,die,Co*ka,,
TUTELO-61-2,TUTELO,Tutelo,61,die,oCo*ka,,
TUTELO-61-3,TUTELO,Tutelo,61,die,te,,
TUTELO-61-4,TUTELO,Tutelo,61,die,teolah,,
TUTELO-66-1,TUTELO,Tutelo,66,come,hu,,
TUTELO-66-2,TUTELO,Tutelo,66,come,kiju,,
TUTELO-66-3,TUTELO,Tutelo,66,come,yahu,,
TUTELO-66-4,TUTELO,Tutelo,66,come,talano*ho,,
TUTELO-72-1,TUTELO,Tutelo,72,sun,mi*,,
TUTELO-74-1,TUTELO,Tutelo,74,star,tapuni*teka,,
TUTELO-75-1,TUTELO,Tutelo,75,water,mani,,
TUTELO-77-1,TUTELO,Tutelo,77,stone,histeki,,
TUTELO-82-1,TUTELO,Tutelo,82,fire,miha*stik,,
TUTELO-82-2,TUTELO,Tutelo,82,fire,ph~eti,,
TUTELO-85-1,TUTELO,Tutelo,85,path,ha*tkox,,
TUTELO-86-1,TUTELO,Tutelo,86,mountain,heki,,
TUTELO-86-2,TUTELO,Tutelo,86,mountain,hekawiyeni*,,
TUTELO-86-3,TUTELO,Tutelo,86,mountain,oheki,,
TUTELO-86-4,TUTELO,Tutelo,86,mountain,suxi,,
TUTELO-92-1,TUTELO,Tutelo,92,night,ohsi,,
