ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TUWARI-1-1,TUWARI,Tuwari,1,I,ali,,
TUWARI-2-1,TUWARI,Tuwari,2,you,te olo,,
TUWARI-2-2,TUWARI,Tuwari,2,you,tama,,
TUWARI-11-1,TUWARI,Tuwari,11,one,motou,,
TUWARI-12-1,TUWARI,Tuwari,12,two,potonami,,
TUWARI-19-1,TUWARI,Tuwari,19,fish,ha7o,,
TUWARI-21-1,TUWARI,Tuwari,21,dog,hayo,,
TUWARI-22-1,TUWARI,Tuwari,22,louse,na7alo,,
TUWARI-23-1,TUWARI,Tuwari,23,tree,mi,,
TUWARI-25-1,TUWARI,Tuwari,25,leaf,nopuwa,,
TUWARI-28-1,TUWARI,Tuwari,28,skin,apa,,
TUWARI-30-1,TUWARI,Tuwari,30,blood,namasi,,
TUWARI-31-1,TUWARI,Tuwari,31,bone,hayolu,,
TUWARI-39-1,TUWARI,Tuwari,39,ear,wasi a7i,,
TUWARI-40-1,TUWARI,Tuwari,40,eye,nomo,,
TUWARI-43-1,TUWARI,Tuwari,43,tooth,napa,,
TUWARI-44-1,TUWARI,Tuwari,44,tongue,ta7a aw~,,
TUWARI-47-1,TUWARI,Tuwari,47,knee,he pa7aru,,
TUWARI-47-2,TUWARI,Tuwari,47,knee,halipa7alo,,
TUWARI-48-1,TUWARI,Tuwari,48,hand,uani,,
TUWARI-51-1,TUWARI,Tuwari,51,breast,apolo,,
TUWARI-53-1,TUWARI,Tuwari,53,liver,now~a,,
TUWARI-54-1,TUWARI,Tuwari,54,drink,asei owo,,
TUWARI-58-1,TUWARI,Tuwari,58,hear,tiapape,,
TUWARI-61-1,TUWARI,Tuwari,61,die,pali wapalo,,
TUWARI-66-1,TUWARI,Tuwari,66,come,pala male,,
TUWARI-72-1,TUWARI,Tuwari,72,sun,tani,,
TUWARI-74-1,TUWARI,Tuwari,74,star,salamayya,,
TUWARI-75-1,TUWARI,Tuwari,75,water,u,,
TUWARI-77-1,TUWARI,Tuwari,77,stone,pu,,
TUWARI-82-1,TUWARI,Tuwari,82,fire,ni,,
TUWARI-85-1,TUWARI,Tuwari,85,path,apa,,
TUWARI-86-1,TUWARI,Tuwari,86,mountain,konopu,,
TUWARI-92-1,TUWARI,Tuwari,92,night,tebi,,
TUWARI-95-1,TUWARI,Tuwari,95,full,tolo* tololo*,,
TUWARI-96-1,TUWARI,Tuwari,96,new,loloala,,
TUWARI-100-1,TUWARI,Tuwari,100,name,hei,,
