ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TUYUCA-1-1,TUYUCA,Tuyuca,1,I,y373,,
TUYUCA-2-1,TUYUCA,Tuyuca,2,you,b3*,,
TUYUCA-2-2,TUYUCA,Tuyuca,2,you,b3*a*,,
TUYUCA-3-1,TUYUCA,Tuyuca,3,we,3*sa*,,
TUYUCA-3-2,TUYUCA,Tuyuca,3,we,ba*ri*,,
TUYUCA-11-1,TUYUCA,Tuyuca,11,one,sika,,
TUYUCA-12-1,TUYUCA,Tuyuca,12,two,p3a,,
TUYUCA-18-1,TUYUCA,Tuyuca,18,person,basoka,,
TUYUCA-19-1,TUYUCA,Tuyuca,19,fish,wai,,
TUYUCA-21-1,TUYUCA,Tuyuca,21,dog,diayi,,
TUYUCA-22-1,TUYUCA,Tuyuca,22,louse,kiaw3*,,
TUYUCA-23-1,TUYUCA,Tuyuca,23,tree,yuk3g3,,
TUYUCA-25-1,TUYUCA,Tuyuca,25,leaf,pu*,,
TUYUCA-28-1,TUYUCA,Tuyuca,28,skin,kasero,,
TUYUCA-30-1,TUYUCA,Tuyuca,30,blood,di,,
TUYUCA-31-1,TUYUCA,Tuyuca,31,bone,ko*a*,,
TUYUCA-34-1,TUYUCA,Tuyuca,34,horn,kapesaro,,
TUYUCA-39-1,TUYUCA,Tuyuca,39,ear,ka*bo*pero,,
TUYUCA-40-1,TUYUCA,Tuyuca,40,eye,kapea,,
TUYUCA-41-1,TUYUCA,Tuyuca,41,nose,e*ke*a*,,
TUYUCA-43-1,TUYUCA,Tuyuca,43,tooth,upiga,,
TUYUCA-44-1,TUYUCA,Tuyuca,44,tongue,ye*be*ro*,,
TUYUCA-47-1,TUYUCA,Tuyuca,47,knee,yi*ka*kobea,,
TUYUCA-48-1,TUYUCA,Tuyuca,48,hand,wa*bo*pa*ba*,,
TUYUCA-51-1,TUYUCA,Tuyuca,51,breast,o*pe*a*,,
TUYUCA-53-1,TUYUCA,Tuyuca,53,liver,ye*be*tuti,,
TUYUCA-54-1,TUYUCA,Tuyuca,54,drink,si*di*,,
TUYUCA-57-1,TUYUCA,Tuyuca,57,see,i*ya*,,
TUYUCA-58-1,TUYUCA,Tuyuca,58,hear,t3o,,
TUYUCA-61-1,TUYUCA,Tuyuca,61,die,diaho*a*,,
TUYUCA-66-1,TUYUCA,Tuyuca,66,come,ati,,
TUYUCA-72-1,TUYUCA,Tuyuca,72,sun,b3reko ba*k3* bu*i*p3,,
TUYUCA-74-1,TUYUCA,Tuyuca,74,star,yo*ko*a*w3*,,
TUYUCA-75-1,TUYUCA,Tuyuca,75,water,oko,,
TUYUCA-77-1,TUYUCA,Tuyuca,77,stone,3*ta*,,
TUYUCA-82-1,TUYUCA,Tuyuca,82,fire,pekabe*,,
TUYUCA-85-1,TUYUCA,Tuyuca,85,path,ba*,,
TUYUCA-86-1,TUYUCA,Tuyuca,86,mountain,buro,,
TUYUCA-86-2,TUYUCA,Tuyuca,86,mountain,3*ta*g3*,,
TUYUCA-92-1,TUYUCA,Tuyuca,92,night,ya*bi*,,
TUYUCA-95-1,TUYUCA,Tuyuca,95,full,dada,,
TUYUCA-95-2,TUYUCA,Tuyuca,95,full,yapi,,
TUYUCA-96-1,TUYUCA,Tuyuca,96,new,ba*ba*,,
TUYUCA-100-1,TUYUCA,Tuyuca,100,name,wa*be*,,
