ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
UKUE-1-1,UKUE,Ukue,1,I,mE,,
UKUE-3-1,UKUE,Ukue,3,we,mai,,
UKUE-12-1,UKUE,Ukue,12,two,va,,
UKUE-19-1,UKUE,Ukue,19,fish,Seri*,,
UKUE-21-1,UKUE,Ukue,21,dog,bo,,
UKUE-22-1,UKUE,Ukue,22,louse,di,,
UKUE-23-1,UKUE,Ukue,23,tree,Sa*,,
UKUE-25-1,UKUE,Ukue,25,leaf,bi,,
UKUE-28-1,UKUE,Ukue,28,skin,ri,,
UKUE-30-1,UKUE,Ukue,30,blood,dE,,
UKUE-34-1,UKUE,Ukue,34,horn,kp~ani,,
UKUE-39-1,UKUE,Ukue,39,ear,ro,,
UKUE-40-1,UKUE,Ukue,40,eye,du*,,
UKUE-41-1,UKUE,Ukue,41,nose,ro,,
UKUE-43-1,UKUE,Ukue,43,tooth,ku*,,
UKUE-44-1,UKUE,Ukue,44,tongue,dami,,
UKUE-48-1,UKUE,Ukue,48,hand,bo,,
UKUE-53-1,UKUE,Ukue,53,liver,ka*,,
UKUE-54-1,UKUE,Ukue,54,drink,yo*,,
UKUE-57-1,UKUE,Ukue,57,see,minE,,
UKUE-58-1,UKUE,Ukue,58,hear,ro*,,
UKUE-61-1,UKUE,Ukue,61,die,gu,,
UKUE-75-1,UKUE,Ukue,75,water,mE,,
UKUE-77-1,UKUE,Ukue,77,stone,gb~a,,
UKUE-92-1,UKUE,Ukue,92,night,ru*,,
UKUE-95-1,UKUE,Ukue,95,full,vo*,,
UKUE-96-1,UKUE,Ukue,96,new,gb~ogb~o,,
UKUE-100-1,UKUE,Ukue,100,name,va*,,
