ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
UNUA-1-1,UNUA,Unua,1,I,xina,,
UNUA-2-1,UNUA,Unua,2,you,xai,,
UNUA-3-1,UNUA,Unua,3,we,rate,,
UNUA-11-1,UNUA,Unua,11,one,soxa,,
UNUA-12-1,UNUA,Unua,12,two,ru,,
UNUA-19-1,UNUA,Unua,19,fish,ix,,
UNUA-21-1,UNUA,Unua,21,dog,kuri,,
UNUA-22-1,UNUA,Unua,22,louse,xut,,
UNUA-23-1,UNUA,Unua,23,tree,xe,,
UNUA-25-1,UNUA,Unua,25,leaf,raun,,
UNUA-28-1,UNUA,Unua,28,skin,bErnemb~o,,
UNUA-30-1,UNUA,Unua,30,blood,nexina,,
UNUA-31-1,UNUA,Unua,31,bone,mb~uraNg~u,,
UNUA-39-1,UNUA,Unua,39,ear,rerNo,,
UNUA-40-1,UNUA,Unua,40,eye,meto,,
UNUA-41-1,UNUA,Unua,41,nose,Nunsu,,
UNUA-43-1,UNUA,Unua,43,tooth,ribo,,
UNUA-44-1,UNUA,Unua,44,tongue,rumo,,
UNUA-47-1,UNUA,Unua,47,knee,mbw$au,,
UNUA-48-1,UNUA,Unua,48,hand,beru,,
UNUA-51-1,UNUA,Unua,51,breast,sus,,
UNUA-53-1,UNUA,Unua,53,liver,tEtu,,
UNUA-54-1,UNUA,Unua,54,drink,mini,,
UNUA-57-1,UNUA,Unua,57,see,kei,,
UNUA-58-1,UNUA,Unua,58,hear,re,,
UNUA-61-1,UNUA,Unua,61,die,meC,,
UNUA-66-1,UNUA,Unua,66,come,bena,,
UNUA-72-1,UNUA,Unua,72,sun,ar,,
UNUA-74-1,UNUA,Unua,74,star,maCo,,
UNUA-75-1,UNUA,Unua,75,water,we,,
UNUA-77-1,UNUA,Unua,77,stone,bet,,
UNUA-82-1,UNUA,Unua,82,fire,xump~,,
UNUA-85-1,UNUA,Unua,85,path,ser,,
UNUA-86-1,UNUA,Unua,86,mountain,xu,,
UNUA-92-1,UNUA,Unua,92,night,nut3ren,,
UNUA-96-1,UNUA,Unua,96,new,mermer,,
UNUA-100-1,UNUA,Unua,100,name,xise,,
