ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
URI-1-1,URI,Uri,1,I,nu,,
URI-2-1,URI,Uri,2,you,nik,,
URI-3-1,URI,Uri,3,we,ker,,
URI-11-1,URI,Uri,11,one,ites,,
URI-12-1,URI,Uri,12,two,ru,,
URI-19-1,URI,Uri,19,fish,eax,,
URI-21-1,URI,Uri,21,dog,k3li,,
URI-22-1,URI,Uri,22,louse,xut,,
URI-25-1,URI,Uri,25,leaf,raun,,
URI-28-1,URI,Uri,28,skin,blu,,
URI-30-1,URI,Uri,30,blood,ndr$a,,
URI-31-1,URI,Uri,31,bone,ci,,
URI-39-1,URI,Uri,39,ear,mb~oro,,
URI-40-1,URI,Uri,40,eye,mete,,
URI-41-1,URI,Uri,41,nose,Ng~unsi,,
URI-43-1,URI,Uri,43,tooth,liwo,,
URI-44-1,URI,Uri,44,tongue,me,,
URI-47-1,URI,Uri,47,knee,mbw$au,,
URI-48-1,URI,Uri,48,hand,b3re,,
URI-51-1,URI,Uri,51,breast,sus,,
URI-53-1,URI,Uri,53,liver,re,,
URI-54-1,URI,Uri,54,drink,m3ne,,
URI-57-1,URI,Uri,57,see,lesi,,
URI-58-1,URI,Uri,58,hear,ruNe,,
URI-61-1,URI,Uri,61,die,mic,,
URI-66-1,URI,Uri,66,come,bini,,
URI-72-1,URI,Uri,72,sun,al,,
URI-74-1,URI,Uri,74,star,mw~ocu,,
URI-75-1,URI,Uri,75,water,we,,
URI-77-1,URI,Uri,77,stone,bEt,,
URI-82-1,URI,Uri,82,fire,amp~,,
URI-85-1,URI,Uri,85,path,sel,,
URI-86-1,URI,Uri,86,mountain,mb~ot3wen,,
URI-92-1,URI,Uri,92,night,natamb~uN,,
URI-96-1,URI,Uri,96,new,mer,,
URI-100-1,URI,Uri,100,name,xa se,,
