ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
UVBIE-1-1,UVBIE,Uvbie,1,I,mEmE,,
UVBIE-3-1,UVBIE,Uvbie,3,we,ni,,
UVBIE-12-1,UVBIE,Uvbie,12,two,vE,,
UVBIE-19-1,UVBIE,Uvbie,19,fish,reni,,
UVBIE-21-1,UVBIE,Uvbie,21,dog,ramaku*,,
UVBIE-22-1,UVBIE,Uvbie,22,louse,ru,,
UVBIE-23-1,UVBIE,Uvbie,23,tree,ra,,
UVBIE-25-1,UVBIE,Uvbie,25,leaf,bi,,
UVBIE-28-1,UVBIE,Uvbie,28,skin,koro,,
UVBIE-30-1,UVBIE,Uvbie,30,blood,bara,,
UVBIE-34-1,UVBIE,Uvbie,34,horn,To,,
UVBIE-39-1,UVBIE,Uvbie,39,ear,so*,,
UVBIE-40-1,UVBIE,Uvbie,40,eye,ru,,
UVBIE-41-1,UVBIE,Uvbie,41,nose,ru*o*,,
UVBIE-43-1,UVBIE,Uvbie,43,tooth,ku*,,
UVBIE-48-1,UVBIE,Uvbie,48,hand,bo,,
UVBIE-53-1,UVBIE,Uvbie,53,liver,du,,
UVBIE-54-1,UVBIE,Uvbie,54,drink,da,,
UVBIE-57-1,UVBIE,Uvbie,57,see,mrE*,,
UVBIE-58-1,UVBIE,Uvbie,58,hear,so,,
UVBIE-61-1,UVBIE,Uvbie,61,die,gu,,
UVBIE-75-1,UVBIE,Uvbie,75,water,mi,,
UVBIE-77-1,UVBIE,Uvbie,77,stone,Tarikp~E,,
UVBIE-92-1,UVBIE,Uvbie,92,night,su,,
UVBIE-95-1,UVBIE,Uvbie,95,full,vo*,,
UVBIE-96-1,UVBIE,Uvbie,96,new,kp~ukpo,,
UVBIE-100-1,UVBIE,Uvbie,100,name,ru*a*,,
