ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
VUNAPU-1-1,VUNAPU,Vunapu,1,I,inau,,
VUNAPU-2-1,VUNAPU,Vunapu,2,you,iniXo,,
VUNAPU-3-1,VUNAPU,Vunapu,3,we,ani7e,,
VUNAPU-11-1,VUNAPU,Vunapu,11,one,tewa,,
VUNAPU-12-1,VUNAPU,Vunapu,12,two,rua,,
VUNAPU-19-1,VUNAPU,Vunapu,19,fish,maci,,
VUNAPU-21-1,VUNAPU,Vunapu,21,dog,pesi,,
VUNAPU-22-1,VUNAPU,Vunapu,22,louse,Xutu,,
VUNAPU-23-1,VUNAPU,Vunapu,23,tree,Xau,,
VUNAPU-25-1,VUNAPU,Vunapu,25,leaf,rauna,,
VUNAPU-28-1,VUNAPU,Vunapu,28,skin,pino,,
VUNAPU-30-1,VUNAPU,Vunapu,30,blood,maXabi,,
VUNAPU-31-1,VUNAPU,Vunapu,31,bone,sui,,
VUNAPU-39-1,VUNAPU,Vunapu,39,ear,la,,
VUNAPU-40-1,VUNAPU,Vunapu,40,eye,mata,,
VUNAPU-41-1,VUNAPU,Vunapu,41,nose,no,,
VUNAPU-43-1,VUNAPU,Vunapu,43,tooth,pati,,
VUNAPU-44-1,VUNAPU,Vunapu,44,tongue,meme,,
VUNAPU-47-1,VUNAPU,Vunapu,47,knee,pou,,
VUNAPU-48-1,VUNAPU,Vunapu,48,hand,lima,,
VUNAPU-51-1,VUNAPU,Vunapu,51,breast,su,,
VUNAPU-53-1,VUNAPU,Vunapu,53,liver,mapw~e,,
VUNAPU-57-1,VUNAPU,Vunapu,57,see,baroa,,
VUNAPU-58-1,VUNAPU,Vunapu,58,hear,ronoa,,
VUNAPU-61-1,VUNAPU,Vunapu,61,die,mate,,
VUNAPU-66-1,VUNAPU,Vunapu,66,come,sumai,,
VUNAPU-72-1,VUNAPU,Vunapu,72,sun,matanamaso,,
VUNAPU-74-1,VUNAPU,Vunapu,74,star,macoi,,
VUNAPU-75-1,VUNAPU,Vunapu,75,water,pei,,
VUNAPU-77-1,VUNAPU,Vunapu,77,stone,sule,,
VUNAPU-82-1,VUNAPU,Vunapu,82,fire,Xapu,,
VUNAPU-85-1,VUNAPU,Vunapu,85,path,rio,,
VUNAPU-86-1,VUNAPU,Vunapu,86,mountain,tamatua,,
VUNAPU-92-1,VUNAPU,Vunapu,92,night,ora,,
VUNAPU-100-1,VUNAPU,Vunapu,100,name,Xise,,
