ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WAALUBAL-1-1,WAALUBAL,Waalubal,1,I,Na5i,,
WAALUBAL-2-1,WAALUBAL,Waalubal,2,you,wi5i,,
WAALUBAL-3-1,WAALUBAL,Waalubal,3,we,NaliNi,,
WAALUBAL-11-1,WAALUBAL,Waalubal,11,one,yabur,,
WAALUBAL-12-1,WAALUBAL,Waalubal,12,two,bulabu,,
WAALUBAL-18-1,WAALUBAL,Waalubal,18,person,baygal,,
WAALUBAL-19-1,WAALUBAL,Waalubal,19,fish,dy~iginir,,
WAALUBAL-21-1,WAALUBAL,Waalubal,21,dog,dabay,,
WAALUBAL-21-2,WAALUBAL,Waalubal,21,dog,Nagam,,
WAALUBAL-22-1,WAALUBAL,Waalubal,22,louse,dulum,,
WAALUBAL-23-1,WAALUBAL,Waalubal,23,tree,dy~ali,,
WAALUBAL-25-1,WAALUBAL,Waalubal,25,leaf,wuraN,,
WAALUBAL-28-1,WAALUBAL,Waalubal,28,skin,yula5,,
WAALUBAL-30-1,WAALUBAL,Waalubal,30,blood,gumar,,
WAALUBAL-31-1,WAALUBAL,Waalubal,31,bone,darigan,,
WAALUBAL-39-1,WAALUBAL,Waalubal,39,ear,ninaN,,
WAALUBAL-40-1,WAALUBAL,Waalubal,40,eye,dy~iyaw,,
WAALUBAL-41-1,WAALUBAL,Waalubal,41,nose,muru,,
WAALUBAL-43-1,WAALUBAL,Waalubal,43,tooth,diraN,,
WAALUBAL-44-1,WAALUBAL,Waalubal,44,tongue,yala5,,
WAALUBAL-47-1,WAALUBAL,Waalubal,47,knee,gindil,,
WAALUBAL-48-1,WAALUBAL,Waalubal,48,hand,dy~ambay,,
WAALUBAL-51-1,WAALUBAL,Waalubal,51,breast,gurumbil,,
WAALUBAL-53-1,WAALUBAL,Waalubal,53,liver,gandaygil,,
WAALUBAL-54-1,WAALUBAL,Waalubal,54,drink,dy~uga,,
WAALUBAL-58-1,WAALUBAL,Waalubal,58,hear,ganNa,,
WAALUBAL-61-1,WAALUBAL,Waalubal,61,die,balanga,,
WAALUBAL-66-1,WAALUBAL,Waalubal,66,come,gandi,,
WAALUBAL-72-1,WAALUBAL,Waalubal,72,sun,yalgan,,
WAALUBAL-74-1,WAALUBAL,Waalubal,74,star,guyumgan,,
WAALUBAL-75-1,WAALUBAL,Waalubal,75,water,guN,,
WAALUBAL-75-2,WAALUBAL,Waalubal,75,water,5abay,,
WAALUBAL-77-1,WAALUBAL,Waalubal,77,stone,dy~aru,,
WAALUBAL-77-2,WAALUBAL,Waalubal,77,stone,gudy~an,,
WAALUBAL-82-1,WAALUBAL,Waalubal,82,fire,waybar,,
WAALUBAL-86-1,WAALUBAL,Waalubal,86,mountain,dugun,,
WAALUBAL-95-1,WAALUBAL,Waalubal,95,full,babara,,
WAALUBAL-100-1,WAALUBAL,Waalubal,100,name,5ari,,
