ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WABHULA-1-1,WABHULA,Wabhula,1,I,ind~a7u,,
WABHULA-1-2,WABHULA,Wabhula,1,I,nd~a7u,,
WABHULA-2-1,WABHULA,Wabhula,2,you,so7o,,
WABHULA-2-2,WABHULA,Wabhula,2,you,iso7o,,
WABHULA-3-1,WABHULA,Wabhula,3,we,kita,,
WABHULA-11-1,WABHULA,Wabhula,11,one,amea,,
WABHULA-11-2,WABHULA,Wabhula,11,one,ise,,
WABHULA-12-1,WABHULA,Wabhula,12,two,dorua,,
WABHULA-18-1,WABHULA,Wabhula,18,person,mia,,
WABHULA-19-1,WABHULA,Wabhula,19,fish,isa,,
WABHULA-22-1,WABHULA,Wabhula,22,louse,CuCu,,
WABHULA-22-2,WABHULA,Wabhula,22,louse,ta7ilale,,
WABHULA-23-1,WABHULA,Wabhula,23,tree,sont~o7oba,,
WABHULA-25-1,WABHULA,Wabhula,25,leaf,ro7o,,
WABHULA-28-1,WABHULA,Wabhula,28,skin,sili,,
WABHULA-30-1,WABHULA,Wabhula,30,blood,rea,,
WABHULA-31-1,WABHULA,Wabhula,31,bone,buku,,
WABHULA-34-1,WABHULA,Wabhula,34,horn,tand~u,,
WABHULA-39-1,WABHULA,Wabhula,39,ear,toliNa,,
WABHULA-40-1,WABHULA,Wabhula,40,eye,mata,,
WABHULA-41-1,WABHULA,Wabhula,41,nose,No7o,,
WABHULA-43-1,WABHULA,Wabhula,43,tooth,Ni7i,,
WABHULA-44-1,WABHULA,Wabhula,44,tongue,ela,,
WABHULA-47-1,WABHULA,Wabhula,47,knee,Cu7u,,
WABHULA-48-1,WABHULA,Wabhula,48,hand,lima,,
WABHULA-51-1,WABHULA,Wabhula,51,breast,CiCi,,
WABHULA-53-1,WABHULA,Wabhula,53,liver,hate,,
WABHULA-54-1,WABHULA,Wabhula,54,drink,poroku,,
WABHULA-57-1,WABHULA,Wabhula,57,see,no7ita,,
WABHULA-58-1,WABHULA,Wabhula,58,hear,pind~omo,,
WABHULA-61-1,WABHULA,Wabhula,61,die,mate,,
WABHULA-66-1,WABHULA,Wabhula,66,come,bund~o,,
WABHULA-72-1,WABHULA,Wabhula,72,sun,holeo,,
WABHULA-74-1,WABHULA,Wabhula,74,star,biCuko,,
WABHULA-75-1,WABHULA,Wabhula,75,water,e7e,,
WABHULA-77-1,WABHULA,Wabhula,77,stone,baCu,,
WABHULA-82-1,WABHULA,Wabhula,82,fire,api,,
WABHULA-85-1,WABHULA,Wabhula,85,path,lala,,
WABHULA-86-1,WABHULA,Wabhula,86,mountain,gunu,,
WABHULA-92-1,WABHULA,Wabhula,92,night,morond~o,,
WABHULA-95-1,WABHULA,Wabhula,95,full,momp~ono,,
WABHULA-96-1,WABHULA,Wabhula,96,new,bukou,,
WABHULA-100-1,WABHULA,Wabhula,100,name,Nea,,
