ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WALING-1-1,WALING,Waling,1,I,ineka,,
WALING-1-2,WALING,Waling,1,I,aNka,,
WALING-2-1,WALING,Waling,2,you,hana,,
WALING-2-2,WALING,Waling,2,you,khana,,
WALING-3-1,WALING,Waling,3,we,ika,,
WALING-3-2,WALING,Waling,3,we,uka,,
WALING-19-1,WALING,Waling,19,fish,gna,,
WALING-21-1,WALING,Waling,21,dog,apa koCuwa,,
WALING-23-1,WALING,Waling,23,tree,saN u,,
WALING-25-1,WALING,Waling,25,leaf,suNphak,,
WALING-25-2,WALING,Waling,25,leaf,ba,,
WALING-28-1,WALING,Waling,28,skin,sahok,,
WALING-30-1,WALING,Waling,30,blood,hi,,
WALING-30-2,WALING,Waling,30,blood,ha,,
WALING-31-1,WALING,Waling,31,bone,sarwa,,
WALING-31-2,WALING,Waling,31,bone,saiwa,,
WALING-34-1,WALING,Waling,34,horn,khu uN taN,,
WALING-39-1,WALING,Waling,39,ear,naphak,,
WALING-40-1,WALING,Waling,40,eye,mak,,
WALING-43-1,WALING,Waling,43,tooth,kaN,,
WALING-48-1,WALING,Waling,48,hand,Cuk,,
WALING-72-1,WALING,Waling,72,sun,namCo wa,,
WALING-74-1,WALING,Waling,74,star,saN gen ma,,
WALING-75-1,WALING,Waling,75,water,Ca wa,,
WALING-77-1,WALING,Waling,77,stone,luNtak,,
WALING-82-1,WALING,Waling,82,fire,mi,,
WALING-85-1,WALING,Waling,85,path,lam,,
WALING-86-1,WALING,Waling,86,mountain,danda,,
WALING-92-1,WALING,Waling,92,night,umkhakhu,,
WALING-100-1,WALING,Waling,100,name,naN,,
