ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WAMPUR-1-1,WAMPUR,Wampur,1,I,ci,,
WAMPUR-2-1,WAMPUR,Wampur,2,you,agua,,
WAMPUR-3-1,WAMPUR,Wampur,3,we,agararuNmalaN7,,
WAMPUR-11-1,WAMPUR,Wampur,11,one,bisaN7ua,,
WAMPUR-12-1,WAMPUR,Wampur,12,two,iru7iru7,,
WAMPUR-18-1,WAMPUR,Wampur,18,person,garam,,
WAMPUR-21-1,WAMPUR,Wampur,21,dog,iyam,,
WAMPUR-22-1,WAMPUR,Wampur,22,louse,gur,,
WAMPUR-23-1,WAMPUR,Wampur,23,tree,gai,,
WAMPUR-25-1,WAMPUR,Wampur,25,leaf,cahan,,
WAMPUR-28-1,WAMPUR,Wampur,28,skin,riniabit,,
WAMPUR-30-1,WAMPUR,Wampur,30,blood,boi7,,
WAMPUR-31-1,WAMPUR,Wampur,31,bone,7uru7an,,
WAMPUR-39-1,WAMPUR,Wampur,39,ear,gain,,
WAMPUR-40-1,WAMPUR,Wampur,40,eye,amaran,,
WAMPUR-41-1,WAMPUR,Wampur,41,nose,cun,,
WAMPUR-43-1,WAMPUR,Wampur,43,tooth,nihu77uru7uan,,
WAMPUR-44-1,WAMPUR,Wampur,44,tongue,man,,
WAMPUR-47-1,WAMPUR,Wampur,47,knee,ruguntuN,,
WAMPUR-48-1,WAMPUR,Wampur,48,hand,ba7ian,,
WAMPUR-51-1,WAMPUR,Wampur,51,breast,tot,,
WAMPUR-53-1,WAMPUR,Wampur,53,liver,nuguan,,
WAMPUR-54-1,WAMPUR,Wampur,54,drink,iginum,,
WAMPUR-57-1,WAMPUR,Wampur,57,see,gina7e,,
WAMPUR-58-1,WAMPUR,Wampur,58,hear,ginaNuat,,
WAMPUR-61-1,WAMPUR,Wampur,61,die,igimamamp,,
WAMPUR-66-1,WAMPUR,Wampur,66,come,giba,,
WAMPUR-72-1,WAMPUR,Wampur,72,sun,gubua7,,
WAMPUR-74-1,WAMPUR,Wampur,74,star,rumantaN,,
WAMPUR-75-1,WAMPUR,Wampur,75,water,poi,,
WAMPUR-77-1,WAMPUR,Wampur,77,stone,tauh,,
WAMPUR-82-1,WAMPUR,Wampur,82,fire,cah,,
WAMPUR-85-1,WAMPUR,Wampur,85,path,macip,,
WAMPUR-86-1,WAMPUR,Wampur,86,mountain,ururia,,
WAMPUR-92-1,WAMPUR,Wampur,92,night,maru7,,
WAMPUR-95-1,WAMPUR,Wampur,95,full,gikith~,,
WAMPUR-96-1,WAMPUR,Wampur,96,new,pisa,,
WAMPUR-100-1,WAMPUR,Wampur,100,name,biNan,,
