ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WANDALA-11-1,WANDALA,Wandala,11,one,p3le,,
WANDALA-12-1,WANDALA,Wandala,12,two,buwa,,
WANDALA-12-2,WANDALA,Wandala,12,two,mb~uwa,,
WANDALA-18-1,WANDALA,Wandala,18,person,ura,,
WANDALA-19-1,WANDALA,Wandala,19,fish,kulfe,,
WANDALA-21-1,WANDALA,Wandala,21,dog,k3re,,
WANDALA-22-1,WANDALA,Wandala,22,louse,CaCa,,
WANDALA-23-1,WANDALA,Wandala,23,tree,n3fa,,
WANDALA-25-1,WANDALA,Wandala,25,leaf,g35e,,
WANDALA-28-1,WANDALA,Wandala,28,skin,gw~ogw~a,,
WANDALA-30-1,WANDALA,Wandala,30,blood,uwZe,,
WANDALA-31-1,WANDALA,Wandala,31,bone,xy~Exy~e,,
WANDALA-34-1,WANDALA,Wandala,34,horn,durma,,
WANDALA-39-1,WANDALA,Wandala,39,ear,xima,,
WANDALA-40-1,WANDALA,Wandala,40,eye,iCe,,
WANDALA-41-1,WANDALA,Wandala,41,nose,uktari,,
WANDALA-43-1,WANDALA,Wandala,43,tooth,Lare,,
WANDALA-44-1,WANDALA,Wandala,44,tongue,nara,,
WANDALA-47-1,WANDALA,Wandala,47,knee,ugje,,
WANDALA-51-1,WANDALA,Wandala,51,breast,uba,,
WANDALA-53-1,WANDALA,Wandala,53,liver,mokfokfw~a,,
WANDALA-54-1,WANDALA,Wandala,54,drink,So Se,,
WANDALA-57-1,WANDALA,Wandala,57,see,n3na,,
WANDALA-57-2,WANDALA,Wandala,57,see,an3na,,
WANDALA-58-1,WANDALA,Wandala,58,hear,Cin3nCina,,
WANDALA-61-1,WANDALA,Wandala,61,die,mc3mca,,
WANDALA-66-1,WANDALA,Wandala,66,come,s3msa,,
WANDALA-72-1,WANDALA,Wandala,72,sun,v3Ciya,,
WANDALA-74-1,WANDALA,Wandala,74,star,turxy~Ekw~a,,
WANDALA-75-1,WANDALA,Wandala,75,water,yewe,,
WANDALA-77-1,WANDALA,Wandala,77,stone,ugc3 n3kw~a,,
WANDALA-82-1,WANDALA,Wandala,82,fire,kara,,
WANDALA-85-1,WANDALA,Wandala,85,path,uNw~ule,,
WANDALA-86-1,WANDALA,Wandala,86,mountain,n3kw~a,,
WANDALA-92-1,WANDALA,Wandala,92,night,v3giya,,
WANDALA-92-2,WANDALA,Wandala,92,night,vo7iya,,
WANDALA-96-1,WANDALA,Wandala,96,new,d3wale,,
WANDALA-100-1,WANDALA,Wandala,100,name,Zire,,
