ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WAPAN-1-1,WAPAN,Wapan,1,I,ami,,
WAPAN-1-2,WAPAN,Wapan,1,I,am,,
WAPAN-2-1,WAPAN,Wapan,2,you,au,,
WAPAN-3-1,WAPAN,Wapan,3,we,ai,,
WAPAN-11-1,WAPAN,Wapan,11,one,acuncun,,
WAPAN-12-1,WAPAN,Wapan,12,two,apyina,,
WAPAN-18-1,WAPAN,Wapan,18,person,pa,,
WAPAN-19-1,WAPAN,Wapan,19,fish,je,,
WAPAN-43-1,WAPAN,Wapan,43,tooth,nyi,,
WAPAN-61-1,WAPAN,Wapan,61,die,hu,,
WAPAN-66-1,WAPAN,Wapan,66,come,cu,,
WAPAN-82-1,WAPAN,Wapan,82,fire,pyu,,
WAPAN-85-1,WAPAN,Wapan,85,path,Co,,
WAPAN-96-1,WAPAN,Wapan,96,new,ri pye,,
WAPAN-100-1,WAPAN,Wapan,100,name,zen,,
