ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WAPHA-1-1,WAPHA,Wapha,1,I,ami,,
WAPHA-2-1,WAPHA,Wapha,2,you,awu,,
WAPHA-3-1,WAPHA,Wapha,3,we,aye,,
WAPHA-11-1,WAPHA,Wapha,11,one,zu,,
WAPHA-12-1,WAPHA,Wapha,12,two,py~ina,,
WAPHA-12-2,WAPHA,Wapha,12,two,phy$i*,,
WAPHA-18-1,WAPHA,Wapha,18,person,p3,,
WAPHA-19-1,WAPHA,Wapha,19,fish,Zey,,
WAPHA-21-1,WAPHA,Wapha,21,dog,bay,,
WAPHA-22-1,WAPHA,Wapha,22,louse,ph~i*,,
WAPHA-22-2,WAPHA,Wapha,22,louse,Sam,,
WAPHA-23-1,WAPHA,Wapha,23,tree,bi,,
WAPHA-25-1,WAPHA,Wapha,25,leaf,Zai,,
WAPHA-28-1,WAPHA,Wapha,28,skin,wow,,
WAPHA-30-1,WAPHA,Wapha,30,blood,sa,,
WAPHA-31-1,WAPHA,Wapha,31,bone,k3b,,
WAPHA-34-1,WAPHA,Wapha,34,horn,yu,,
WAPHA-39-1,WAPHA,Wapha,39,ear,sh~u*,,
WAPHA-40-1,WAPHA,Wapha,40,eye,zo,,
WAPHA-41-1,WAPHA,Wapha,41,nose,nw~on,,
WAPHA-43-1,WAPHA,Wapha,43,tooth,n3N,,
WAPHA-44-1,WAPHA,Wapha,44,tongue,nam,,
WAPHA-47-1,WAPHA,Wapha,47,knee,kh~u*bar,,
WAPHA-48-1,WAPHA,Wapha,48,hand,vo,,
WAPHA-51-1,WAPHA,Wapha,51,breast,miwa,,
WAPHA-53-1,WAPHA,Wapha,53,liver,m3n nay,,
WAPHA-54-1,WAPHA,Wapha,54,drink,wa,,
WAPHA-57-1,WAPHA,Wapha,57,see,by~an,,
WAPHA-58-1,WAPHA,Wapha,58,hear,faw,,
WAPHA-61-1,WAPHA,Wapha,61,die,wu,,
WAPHA-66-1,WAPHA,Wapha,66,come,bi,,
WAPHA-72-1,WAPHA,Wapha,72,sun,yinu,,
WAPHA-74-1,WAPHA,Wapha,74,star,sur,,
WAPHA-75-1,WAPHA,Wapha,75,water,Zap3,,
WAPHA-77-1,WAPHA,Wapha,77,stone,ba*,,
WAPHA-82-1,WAPHA,Wapha,82,fire,py~u,,
WAPHA-85-1,WAPHA,Wapha,85,path,5am py~u,,
WAPHA-86-1,WAPHA,Wapha,86,mountain,kuni,,
WAPHA-86-2,WAPHA,Wapha,86,mountain,mur,,
WAPHA-92-1,WAPHA,Wapha,92,night,s3n3N,,
WAPHA-96-1,WAPHA,Wapha,96,new,py~e,,
WAPHA-100-1,WAPHA,Wapha,100,name,z3n,,
