ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WARAY-1-1,WARAY,Waray,1,I,5ak,,
WARAY-2-1,WARAY,Waray,2,you,Nu5,,
WARAY-3-1,WARAY,Waray,3,we,yapa,,
WARAY-11-1,WARAY,Waray,11,one,Tari5,,
WARAY-12-1,WARAY,Waray,12,two,karaNlul,,
WARAY-19-1,WARAY,Waray,19,fish,Tipak,,
WARAY-21-1,WARAY,Waray,21,dog,Niri,,
WARAY-22-1,WARAY,Waray,22,louse,lal,,
WARAY-23-1,WARAY,Waray,23,tree,yumpal,,
WARAY-25-1,WARAY,Waray,25,leaf,malamala,,
WARAY-25-2,WARAY,Waray,25,leaf,mara,,
WARAY-28-1,WARAY,Waray,28,skin,wik,,
WARAY-30-1,WARAY,Waray,30,blood,kuraT,,
WARAY-31-1,WARAY,Waray,31,bone,mu,,
WARAY-39-1,WARAY,Waray,39,ear,kanim,,
WARAY-40-1,WARAY,Waray,40,eye,tum,,
WARAY-41-1,WARAY,Waray,41,nose,ki,,
WARAY-43-1,WARAY,Waray,43,tooth,latma,,
WARAY-44-1,WARAY,Waray,44,tongue,Tan,,
WARAY-47-1,WARAY,Waray,47,knee,pat,,
WARAY-48-1,WARAY,Waray,48,hand,napa,,
WARAY-51-1,WARAY,Waray,51,breast,TuTuT,,
WARAY-53-1,WARAY,Waray,53,liver,Ti,,
WARAY-54-1,WARAY,Waray,54,drink,pi,,
WARAY-57-1,WARAY,Waray,57,see,na,,
WARAY-58-1,WARAY,Waray,58,hear,Na,,
WARAY-61-1,WARAY,Waray,61,die,Tu,,
WARAY-66-1,WARAY,Waray,66,come,Tim,,
WARAY-72-1,WARAY,Waray,72,sun,miral,,
WARAY-74-1,WARAY,Waray,74,star,kiNi5Tak,,
WARAY-75-1,WARAY,Waray,75,water,wik,,
WARAY-77-1,WARAY,Waray,77,stone,kiri,,
WARAY-82-1,WARAY,Waray,82,fire,wak,,
WARAY-92-1,WARAY,Waray,92,night,5ikpa,,
WARAY-96-1,WARAY,Waray,96,new,kaN,,
WARAY-100-1,WARAY,Waray,100,name,5i,,
