ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WAREMBORI-1-1,WAREMBORI,Warembori,1,I,iwi,,
WAREMBORI-2-1,WAREMBORI,Warembori,2,you,awi,,
WAREMBORI-3-1,WAREMBORI,Warembori,3,we,ki,,
WAREMBORI-11-1,WAREMBORI,Warembori,11,one,waiseno,,
WAREMBORI-12-1,WAREMBORI,Warembori,12,two,waitiso,,
WAREMBORI-18-1,WAREMBORI,Warembori,18,person,nu,,
WAREMBORI-18-2,WAREMBORI,Warembori,18,person,man,,
WAREMBORI-19-1,WAREMBORI,Warembori,19,fish,anta,,
WAREMBORI-21-1,WAREMBORI,Warembori,21,dog,mena,,
WAREMBORI-22-1,WAREMBORI,Warembori,22,louse,ki,,
WAREMBORI-23-1,WAREMBORI,Warembori,23,tree,ayo,,
WAREMBORI-25-1,WAREMBORI,Warembori,25,leaf,and~an,,
WAREMBORI-28-1,WAREMBORI,Warembori,28,skin,kue,,
WAREMBORI-30-1,WAREMBORI,Warembori,30,blood,ra,,
WAREMBORI-31-1,WAREMBORI,Warembori,31,bone,komb~o,,
WAREMBORI-39-1,WAREMBORI,Warembori,39,ear,raran,,
WAREMBORI-40-1,WAREMBORI,Warembori,40,eye,va,,
WAREMBORI-41-1,WAREMBORI,Warembori,41,nose,na,,
WAREMBORI-43-1,WAREMBORI,Warembori,43,tooth,vo,,
WAREMBORI-44-1,WAREMBORI,Warembori,44,tongue,voro,,
WAREMBORI-44-2,WAREMBORI,Warembori,44,tongue,peren,,
WAREMBORI-47-1,WAREMBORI,Warembori,47,knee,vua,,
WAREMBORI-51-1,WAREMBORI,Warembori,51,breast,tutu,,
WAREMBORI-53-1,WAREMBORI,Warembori,53,liver,tena,,
WAREMBORI-54-1,WAREMBORI,Warembori,54,drink,mini,,
WAREMBORI-57-1,WAREMBORI,Warembori,57,see,tire,,
WAREMBORI-58-1,WAREMBORI,Warembori,58,hear,natana,,
WAREMBORI-61-1,WAREMBORI,Warembori,61,die,pere,,
WAREMBORI-66-1,WAREMBORI,Warembori,66,come,da,,
WAREMBORI-72-1,WAREMBORI,Warembori,72,sun,oro,,
WAREMBORI-74-1,WAREMBORI,Warembori,74,star,emetata,,
WAREMBORI-75-1,WAREMBORI,Warembori,75,water,dan,,
WAREMBORI-77-1,WAREMBORI,Warembori,77,stone,bava,,
WAREMBORI-82-1,WAREMBORI,Warembori,82,fire,on,,
WAREMBORI-85-1,WAREMBORI,Warembori,85,path,anima,,
WAREMBORI-86-1,WAREMBORI,Warembori,86,mountain,dote,,
WAREMBORI-92-1,WAREMBORI,Warembori,92,night,we,,
WAREMBORI-96-1,WAREMBORI,Warembori,96,new,uvo,,
WAREMBORI-100-1,WAREMBORI,Warembori,100,name,nan,,
