ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WAWONII_MENUI-1-1,WAWONII_MENUI,Wawonii Menui,1,I,iNkude,,
WAWONII_MENUI-1-2,WAWONII_MENUI,Wawonii Menui,1,I,uNkude,,
WAWONII_MENUI-2-1,WAWONII_MENUI,Wawonii Menui,2,you,iko7o,,
WAWONII_MENUI-3-1,WAWONII_MENUI,Wawonii Menui,3,we,intade,,
WAWONII_MENUI-11-1,WAWONII_MENUI,Wawonii Menui,11,one,asa,,
WAWONII_MENUI-12-1,WAWONII_MENUI,Wawonii Menui,12,two,orua,,
WAWONII_MENUI-18-1,WAWONII_MENUI,Wawonii Menui,18,person,mia,,
WAWONII_MENUI-19-1,WAWONII_MENUI,Wawonii Menui,19,fish,ika,,
WAWONII_MENUI-21-1,WAWONII_MENUI,Wawonii Menui,21,dog,dahu,,
WAWONII_MENUI-22-1,WAWONII_MENUI,Wawonii Menui,22,louse,kutu,,
WAWONII_MENUI-23-1,WAWONII_MENUI,Wawonii Menui,23,tree,pu7u,,
WAWONII_MENUI-25-1,WAWONII_MENUI,Wawonii Menui,25,leaf,lepe,,
WAWONII_MENUI-28-1,WAWONII_MENUI,Wawonii Menui,28,skin,kuli,,
WAWONII_MENUI-30-1,WAWONII_MENUI,Wawonii Menui,30,blood,rea,,
WAWONII_MENUI-31-1,WAWONII_MENUI,Wawonii Menui,31,bone,puku,,
WAWONII_MENUI-34-1,WAWONII_MENUI,Wawonii Menui,34,horn,tandu,,
WAWONII_MENUI-39-1,WAWONII_MENUI,Wawonii Menui,39,ear,biri,,
WAWONII_MENUI-40-1,WAWONII_MENUI,Wawonii Menui,40,eye,mata,,
WAWONII_MENUI-41-1,WAWONII_MENUI,Wawonii Menui,41,nose,eNe,,
WAWONII_MENUI-43-1,WAWONII_MENUI,Wawonii Menui,43,tooth,Nisi,,
WAWONII_MENUI-44-1,WAWONII_MENUI,Wawonii Menui,44,tongue,elo,,
WAWONII_MENUI-47-1,WAWONII_MENUI,Wawonii Menui,47,knee,tu,,
WAWONII_MENUI-48-1,WAWONII_MENUI,Wawonii Menui,48,hand,lima,,
WAWONII_MENUI-51-1,WAWONII_MENUI,Wawonii Menui,51,breast,susu,,
WAWONII_MENUI-53-1,WAWONII_MENUI,Wawonii Menui,53,liver,ate,,
WAWONII_MENUI-54-1,WAWONII_MENUI,Wawonii Menui,54,drink,mondo7u,,
WAWONII_MENUI-57-1,WAWONII_MENUI,Wawonii Menui,57,see,mo7onto,,
WAWONII_MENUI-58-1,WAWONII_MENUI,Wawonii Menui,58,hear,mompodea,,
WAWONII_MENUI-61-1,WAWONII_MENUI,Wawonii Menui,61,die,mate,,
WAWONII_MENUI-66-1,WAWONII_MENUI,Wawonii Menui,66,come,leu,,
WAWONII_MENUI-72-1,WAWONII_MENUI,Wawonii Menui,72,sun,mataoleo,,
WAWONII_MENUI-74-1,WAWONII_MENUI,Wawonii Menui,74,star,bitu7o,,
WAWONII_MENUI-75-1,WAWONII_MENUI,Wawonii Menui,75,water,baho,,
WAWONII_MENUI-77-1,WAWONII_MENUI,Wawonii Menui,77,stone,patu,,
WAWONII_MENUI-82-1,WAWONII_MENUI,Wawonii Menui,82,fire,api,,
WAWONII_MENUI-85-1,WAWONII_MENUI,Wawonii Menui,85,path,salaha,,
WAWONII_MENUI-86-1,WAWONII_MENUI,Wawonii Menui,86,mountain,babono,,
WAWONII_MENUI-92-1,WAWONII_MENUI,Wawonii Menui,92,night,malo,,
WAWONII_MENUI-95-1,WAWONII_MENUI,Wawonii Menui,95,full,buke,,
WAWONII_MENUI-96-1,WAWONII_MENUI,Wawonii Menui,96,new,sarai,,
WAWONII_MENUI-96-2,WAWONII_MENUI,Wawonii Menui,96,new,baru,,
WAWONII_MENUI-100-1,WAWONII_MENUI,Wawonii Menui,100,name,Nee,,
