ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WEST_MAKIAN-1-1,WEST_MAKIAN,West Makian,1,I,de,,
WEST_MAKIAN-2-1,WEST_MAKIAN,West Makian,2,you,Noni,,
WEST_MAKIAN-2-2,WEST_MAKIAN,West Makian,2,you,ni,,
WEST_MAKIAN-3-1,WEST_MAKIAN,West Makian,3,we,ene,,
WEST_MAKIAN-3-2,WEST_MAKIAN,West Makian,3,we,imi,,
WEST_MAKIAN-11-1,WEST_MAKIAN,West Makian,11,one,minye,,
WEST_MAKIAN-11-2,WEST_MAKIAN,West Makian,11,one,meminye,,
WEST_MAKIAN-11-3,WEST_MAKIAN,West Makian,11,one,maminye,,
WEST_MAKIAN-11-4,WEST_MAKIAN,West Makian,11,one,gominye,,
WEST_MAKIAN-12-1,WEST_MAKIAN,West Makian,12,two,medeN,,
WEST_MAKIAN-12-2,WEST_MAKIAN,West Makian,12,two,dimaede,,
WEST_MAKIAN-12-3,WEST_MAKIAN,West Makian,12,two,maedeN,,
WEST_MAKIAN-12-4,WEST_MAKIAN,West Makian,12,two,edeN,,
WEST_MAKIAN-12-5,WEST_MAKIAN,West Makian,12,two,je,,
WEST_MAKIAN-18-1,WEST_MAKIAN,West Makian,18,person,manCa,,
WEST_MAKIAN-18-2,WEST_MAKIAN,West Makian,18,person,manCia,,
WEST_MAKIAN-19-1,WEST_MAKIAN,West Makian,19,fish,iao,,
WEST_MAKIAN-19-2,WEST_MAKIAN,West Makian,19,fish,yao,,
WEST_MAKIAN-21-1,WEST_MAKIAN,West Makian,21,dog,aso,,
WEST_MAKIAN-22-1,WEST_MAKIAN,West Makian,22,louse,bene,,
WEST_MAKIAN-23-1,WEST_MAKIAN,West Makian,23,tree,fete,,
WEST_MAKIAN-25-1,WEST_MAKIAN,West Makian,25,leaf,we,,
WEST_MAKIAN-28-1,WEST_MAKIAN,West Makian,28,skin,fi,,
WEST_MAKIAN-30-1,WEST_MAKIAN,West Makian,30,blood,wuni,,
WEST_MAKIAN-30-2,WEST_MAKIAN,West Makian,30,blood,uni,,
WEST_MAKIAN-31-1,WEST_MAKIAN,West Makian,31,bone,subebi,,
WEST_MAKIAN-34-1,WEST_MAKIAN,West Makian,34,horn,tadik,,
WEST_MAKIAN-39-1,WEST_MAKIAN,West Makian,39,ear,kamou,,
WEST_MAKIAN-39-2,WEST_MAKIAN,West Makian,39,ear,kameu,,
WEST_MAKIAN-40-1,WEST_MAKIAN,West Makian,40,eye,afe,,
WEST_MAKIAN-40-2,WEST_MAKIAN,West Makian,40,eye,sado,,
WEST_MAKIAN-41-1,WEST_MAKIAN,West Makian,41,nose,mudefete,,
WEST_MAKIAN-43-1,WEST_MAKIAN,West Makian,43,tooth,wi,,
WEST_MAKIAN-44-1,WEST_MAKIAN,West Makian,44,tongue,belu belu,,
WEST_MAKIAN-44-2,WEST_MAKIAN,West Makian,44,tongue,belo,,
WEST_MAKIAN-47-1,WEST_MAKIAN,West Makian,47,knee,papu,,
WEST_MAKIAN-48-1,WEST_MAKIAN,West Makian,48,hand,ia,,
WEST_MAKIAN-48-2,WEST_MAKIAN,West Makian,48,hand,kamama,,
WEST_MAKIAN-48-3,WEST_MAKIAN,West Makian,48,hand,kamma,,
WEST_MAKIAN-48-4,WEST_MAKIAN,West Makian,48,hand,jowjow,,
WEST_MAKIAN-51-1,WEST_MAKIAN,West Makian,51,breast,susu,,
WEST_MAKIAN-53-1,WEST_MAKIAN,West Makian,53,liver,amo,,
WEST_MAKIAN-54-1,WEST_MAKIAN,West Makian,54,drink,bebe,,
WEST_MAKIAN-54-2,WEST_MAKIAN,West Makian,54,drink,jowbe,,
WEST_MAKIAN-57-1,WEST_MAKIAN,West Makian,57,see,Co,,
WEST_MAKIAN-58-1,WEST_MAKIAN,West Makian,58,hear,baso,,
WEST_MAKIAN-61-1,WEST_MAKIAN,West Makian,61,die,magey,,
WEST_MAKIAN-66-1,WEST_MAKIAN,West Makian,66,come,ay,,
WEST_MAKIAN-66-2,WEST_MAKIAN,West Makian,66,come,fi,,
WEST_MAKIAN-66-3,WEST_MAKIAN,West Makian,66,come,fia,,
WEST_MAKIAN-66-4,WEST_MAKIAN,West Makian,66,come,fo,,
WEST_MAKIAN-66-5,WEST_MAKIAN,West Makian,66,come,mo,,
WEST_MAKIAN-66-6,WEST_MAKIAN,West Makian,66,come,no,,
WEST_MAKIAN-66-7,WEST_MAKIAN,West Makian,66,come,podo,,
WEST_MAKIAN-72-1,WEST_MAKIAN,West Makian,72,sun,win,,
WEST_MAKIAN-74-1,WEST_MAKIAN,West Makian,74,star,pariama,,
WEST_MAKIAN-74-2,WEST_MAKIAN,West Makian,74,star,mawi,,
WEST_MAKIAN-75-1,WEST_MAKIAN,West Makian,75,water,be,,
WEST_MAKIAN-77-1,WEST_MAKIAN,West Makian,77,stone,mai,,
WEST_MAKIAN-77-2,WEST_MAKIAN,West Makian,77,stone,may,,
WEST_MAKIAN-82-1,WEST_MAKIAN,West Makian,82,fire,ipi,,
WEST_MAKIAN-85-1,WEST_MAKIAN,West Makian,85,path,gopao,,
WEST_MAKIAN-86-1,WEST_MAKIAN,West Makian,86,mountain,pu,,
WEST_MAKIAN-95-1,WEST_MAKIAN,West Makian,95,full,guma,,
WEST_MAKIAN-95-2,WEST_MAKIAN,West Makian,95,full,oy,,
WEST_MAKIAN-96-1,WEST_MAKIAN,West Makian,96,new,topo,,
WEST_MAKIAN-100-1,WEST_MAKIAN,West Makian,100,name,aym,,
