ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WOJENEKAKAN-2-1,WOJENEKAKAN,Wojenekakan,2,you,i,,
WOJENEKAKAN-11-1,WOJENEKAKAN,Wojenekakan,11,one,kele*,,
WOJENEKAKAN-12-1,WOJENEKAKAN,Wojenekakan,12,two,fla,,
WOJENEKAKAN-18-1,WOJENEKAKAN,Wojenekakan,18,person,mogo,,
WOJENEKAKAN-19-1,WOJENEKAKAN,Wojenekakan,19,fish,jEgE,,
WOJENEKAKAN-21-1,WOJENEKAKAN,Wojenekakan,21,dog,wuru,,
WOJENEKAKAN-21-2,WOJENEKAKAN,Wojenekakan,21,dog,wulu,,
WOJENEKAKAN-23-1,WOJENEKAKAN,Wojenekakan,23,tree,yiri,,
WOJENEKAKAN-25-1,WOJENEKAKAN,Wojenekakan,25,leaf,flaburu,,
WOJENEKAKAN-28-1,WOJENEKAKAN,Wojenekakan,28,skin,gbolo,,
WOJENEKAKAN-30-1,WOJENEKAKAN,Wojenekakan,30,blood,jeri,,
WOJENEKAKAN-31-1,WOJENEKAKAN,Wojenekakan,31,bone,koro,,
WOJENEKAKAN-34-1,WOJENEKAKAN,Wojenekakan,34,horn,kere,,
WOJENEKAKAN-39-1,WOJENEKAKAN,Wojenekakan,39,ear,toro,,
WOJENEKAKAN-40-1,WOJENEKAKAN,Wojenekakan,40,eye,5a,,
WOJENEKAKAN-41-1,WOJENEKAKAN,Wojenekakan,41,nose,nu*,,
WOJENEKAKAN-43-1,WOJENEKAKAN,Wojenekakan,43,tooth,5i*,,
WOJENEKAKAN-44-1,WOJENEKAKAN,Wojenekakan,44,tongue,nE*,,
WOJENEKAKAN-48-1,WOJENEKAKAN,Wojenekakan,48,hand,boro,,
WOJENEKAKAN-51-1,WOJENEKAKAN,Wojenekakan,51,breast,su*,,
WOJENEKAKAN-54-1,WOJENEKAKAN,Wojenekakan,54,drink,mi*,,
WOJENEKAKAN-58-1,WOJENEKAKAN,Wojenekakan,58,hear,myE*,,
WOJENEKAKAN-66-1,WOJENEKAKAN,Wojenekakan,66,come,se,,
WOJENEKAKAN-72-1,WOJENEKAKAN,Wojenekakan,72,sun,tere,,
WOJENEKAKAN-74-1,WOJENEKAKAN,Wojenekakan,74,star,lolo,,
WOJENEKAKAN-75-1,WOJENEKAKAN,Wojenekakan,75,water,ji,,
WOJENEKAKAN-77-1,WOJENEKAKAN,Wojenekakan,77,stone,kaba,,
WOJENEKAKAN-85-1,WOJENEKAKAN,Wojenekakan,85,path,sira,,
WOJENEKAKAN-86-1,WOJENEKAKAN,Wojenekakan,86,mountain,kuru,,
WOJENEKAKAN-92-1,WOJENEKAKAN,Wojenekakan,92,night,su,,
WOJENEKAKAN-95-1,WOJENEKAKAN,Wojenekakan,95,full,fani*,,
WOJENEKAKAN-96-1,WOJENEKAKAN,Wojenekakan,96,new,kula,,
WOJENEKAKAN-100-1,WOJENEKAKAN,Wojenekakan,100,name,toxo,,
