ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WOLIO-1-1,WOLIO,Wolio,1,I,iaku,,
WOLIO-2-1,WOLIO,Wolio,2,you,iNk~o,,
WOLIO-3-1,WOLIO,Wolio,3,we,iNk~ita,,
WOLIO-11-1,WOLIO,Wolio,11,one,ise,,
WOLIO-12-1,WOLIO,Wolio,12,two,rua,,
WOLIO-12-2,WOLIO,Wolio,12,two,jua,,
WOLIO-18-1,WOLIO,Wolio,18,person,mia,,
WOLIO-19-1,WOLIO,Wolio,19,fish,ikane,,
WOLIO-21-1,WOLIO,Wolio,21,dog,mant~oa,,
WOLIO-23-1,WOLIO,Wolio,23,tree,suma,,
WOLIO-25-1,WOLIO,Wolio,25,leaf,taba,,
WOLIO-28-1,WOLIO,Wolio,28,skin,kuli,,
WOLIO-30-1,WOLIO,Wolio,30,blood,ra,,
WOLIO-31-1,WOLIO,Wolio,31,bone,buku,,
WOLIO-39-1,WOLIO,Wolio,39,ear,taliNa,,
WOLIO-40-1,WOLIO,Wolio,40,eye,mata,,
WOLIO-41-1,WOLIO,Wolio,41,nose,baNo,,
WOLIO-43-1,WOLIO,Wolio,43,tooth,NinC~i,,
WOLIO-44-1,WOLIO,Wolio,44,tongue,lela,,
WOLIO-44-2,WOLIO,Wolio,44,tongue,dela,,
WOLIO-47-1,WOLIO,Wolio,47,knee,toputu,,
WOLIO-48-1,WOLIO,Wolio,48,hand,lima,,
WOLIO-51-1,WOLIO,Wolio,51,breast,susi,,
WOLIO-53-1,WOLIO,Wolio,53,liver,ate,,
WOLIO-54-1,WOLIO,Wolio,54,drink,sump~u,,
WOLIO-57-1,WOLIO,Wolio,57,see,kamata,,
WOLIO-58-1,WOLIO,Wolio,58,hear,raNo,,
WOLIO-61-1,WOLIO,Wolio,61,die,mate,,
WOLIO-66-1,WOLIO,Wolio,66,come,mai,,
WOLIO-66-2,WOLIO,Wolio,66,come,umb~a,,
WOLIO-75-1,WOLIO,Wolio,75,water,ube,,
WOLIO-77-1,WOLIO,Wolio,77,stone,batu,,
WOLIO-82-1,WOLIO,Wolio,82,fire,ba,,
WOLIO-85-1,WOLIO,Wolio,85,path,dala,,
WOLIO-92-1,WOLIO,Wolio,92,night,malo,,
WOLIO-100-1,WOLIO,Wolio,100,name,saro,,
