ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WOSWARI-11-1,WOSWARI,Woswari,11,one,arosobau,,
WOSWARI-12-1,WOSWARI,Woswari,12,two,arofri,,
WOSWARI-18-1,WOSWARI,Woswari,18,person,to,,
WOSWARI-18-2,WOSWARI,Woswari,18,person,to iwa,,
WOSWARI-19-1,WOSWARI,Woswari,19,fish,afitano,,
WOSWARI-21-1,WOSWARI,Woswari,21,dog,ifau,,
WOSWARI-21-2,WOSWARI,Woswari,21,dog,ivau,,
WOSWARI-22-1,WOSWARI,Woswari,22,louse,dibafuyei,,
WOSWARI-23-1,WOSWARI,Woswari,23,tree,yanu,,
WOSWARI-25-1,WOSWARI,Woswari,25,leaf,nwai,,
WOSWARI-28-1,WOSWARI,Woswari,28,skin,toefahewa,,
WOSWARI-30-1,WOSWARI,Woswari,30,blood,teyuowa,,
WOSWARI-31-1,WOSWARI,Woswari,31,bone,ihuwa,,
WOSWARI-39-1,WOSWARI,Woswari,39,ear,afe,,
WOSWARI-40-1,WOSWARI,Woswari,40,eye,nimau,,
WOSWARI-41-1,WOSWARI,Woswari,41,nose,timosi,,
WOSWARI-43-1,WOSWARI,Woswari,43,tooth,nofe,,
WOSWARI-44-1,WOSWARI,Woswari,44,tongue,tanotai,,
WOSWARI-47-1,WOSWARI,Woswari,47,knee,erepa7aru,,
WOSWARI-48-1,WOSWARI,Woswari,48,hand,yanineru,,
WOSWARI-51-1,WOSWARI,Woswari,51,breast,mama,,
WOSWARI-53-1,WOSWARI,Woswari,53,liver,umone,,
WOSWARI-66-1,WOSWARI,Woswari,66,come,aiya,,
WOSWARI-74-1,WOSWARI,Woswari,74,star,sorifariya,,
WOSWARI-75-1,WOSWARI,Woswari,75,water,utlauwe,,
WOSWARI-77-1,WOSWARI,Woswari,77,stone,tabiya,,
WOSWARI-82-1,WOSWARI,Woswari,82,fire,tiyami,,
WOSWARI-82-2,WOSWARI,Woswari,82,fire,tanuwa,,
WOSWARI-85-1,WOSWARI,Woswari,85,path,efomowa,,
WOSWARI-86-1,WOSWARI,Woswari,86,mountain,wwa7u,,
WOSWARI-92-1,WOSWARI,Woswari,92,night,tatufiya,,
WOSWARI-96-1,WOSWARI,Woswari,96,new,usane,,
