ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WOUNAAN-1-1,WOUNAAN,Wounaan,1,I,mu,,
WOUNAAN-2-1,WOUNAAN,Wounaan,2,you,pu,,
WOUNAAN-2-2,WOUNAAN,Wounaan,2,you,pa*r,,
WOUNAAN-2-3,WOUNAAN,Wounaan,2,you,pa*rau,,
WOUNAAN-3-1,WOUNAAN,Wounaan,3,we,maC,,
WOUNAAN-3-2,WOUNAAN,Wounaan,3,we,maCdiu,,
WOUNAAN-4-1,WOUNAAN,Wounaan,4,this,mug,,
WOUNAAN-4-2,WOUNAAN,Wounaan,4,this,Camug,,
WOUNAAN-5-1,WOUNAAN,Wounaan,5,that,mag woun,,
WOUNAAN-6-1,WOUNAAN,Wounaan,6,who,kh~ai,,
WOUNAAN-7-1,WOUNAAN,Wounaan,7,what,kh~ani,,
WOUNAAN-8-1,WOUNAAN,Wounaan,8,not,u*7u*,,
WOUNAAN-9-1,WOUNAAN,Wounaan,9,all,th~um,,
WOUNAAN-10-1,WOUNAAN,Wounaan,10,many,kh~apana,,
WOUNAAN-11-1,WOUNAAN,Wounaan,11,one,a*b,,
WOUNAAN-12-1,WOUNAAN,Wounaan,12,two,numi,,
WOUNAAN-13-1,WOUNAAN,Wounaan,13,big,kh~apan,,
WOUNAAN-14-1,WOUNAAN,Wounaan,14,long,durag,,
WOUNAAN-14-2,WOUNAAN,Wounaan,14,long,b3b3rg,,
WOUNAAN-15-1,WOUNAAN,Wounaan,15,small,bu*ru,,
WOUNAAN-15-2,WOUNAAN,Wounaan,15,small,dai,,
WOUNAAN-17-1,WOUNAAN,Wounaan,17,man,emkh~oi,,
WOUNAAN-18-1,WOUNAAN,Wounaan,18,person,ho*r,,
WOUNAAN-19-1,WOUNAAN,Wounaan,19,fish,a*war,,
WOUNAAN-20-1,WOUNAAN,Wounaan,20,bird,iCpan,,
WOUNAAN-21-1,WOUNAAN,Wounaan,21,dog,sak,,
WOUNAAN-22-1,WOUNAAN,Wounaan,22,louse,th~u*,,
WOUNAAN-23-1,WOUNAAN,Wounaan,23,tree,pab3,,
WOUNAAN-24-1,WOUNAAN,Wounaan,24,seed,nemhi*r dau,,
WOUNAAN-25-1,WOUNAAN,Wounaan,25,leaf,kh~ir,,
WOUNAAN-26-1,WOUNAAN,Wounaan,26,root,pakh~ar,,
WOUNAAN-27-1,WOUNAAN,Wounaan,27,bark,pa7u,,
WOUNAAN-29-1,WOUNAAN,Wounaan,29,flesh,mod,,
WOUNAAN-29-2,WOUNAAN,Wounaan,29,flesh,nemek,,
WOUNAAN-30-1,WOUNAAN,Wounaan,30,blood,bag,,
WOUNAAN-31-1,WOUNAAN,Wounaan,31,bone,pa,,
WOUNAAN-32-1,WOUNAAN,Wounaan,32,grease,nemkh~au,,
WOUNAAN-33-1,WOUNAAN,Wounaan,33,egg,nem7a*u,,
WOUNAAN-34-1,WOUNAAN,Wounaan,34,horn,kaC,,
WOUNAAN-35-1,WOUNAAN,Wounaan,35,tail,dur,,
WOUNAAN-36-1,WOUNAAN,Wounaan,36,feather,nem7iC,,
WOUNAAN-36-2,WOUNAAN,Wounaan,36,feather,kh~ar,,
WOUNAAN-37-1,WOUNAAN,Wounaan,37,hair,ph~o*b3,,
WOUNAAN-37-2,WOUNAAN,Wounaan,37,hair,purb3,,
WOUNAAN-38-1,WOUNAAN,Wounaan,38,head,pur,,
WOUNAAN-39-1,WOUNAAN,Wounaan,39,ear,kh~aC,,
WOUNAAN-40-1,WOUNAAN,Wounaan,40,eye,dau,,
WOUNAAN-41-1,WOUNAAN,Wounaan,41,nose,kh~e*u,,
WOUNAAN-43-1,WOUNAAN,Wounaan,43,tooth,kh~ier,,
WOUNAAN-44-1,WOUNAAN,Wounaan,44,tongue,meukh~i*,,
WOUNAAN-45-1,WOUNAAN,Wounaan,45,claw,h3gkh~e*u kh~usar,,
WOUNAAN-46-1,WOUNAAN,Wounaan,46,foot,b3,,
WOUNAAN-47-1,WOUNAAN,Wounaan,47,knee,hi*epur,,
WOUNAAN-48-1,WOUNAAN,Wounaan,48,hand,hua ha*,,
WOUNAAN-49-1,WOUNAAN,Wounaan,49,belly,bi,,
WOUNAAN-49-2,WOUNAAN,Wounaan,49,belly,kh~u7o7omorg,,
WOUNAAN-50-1,WOUNAAN,Wounaan,50,neck,upa,,
WOUNAAN-51-1,WOUNAAN,Wounaan,51,breast,hu*d,,
WOUNAAN-52-1,WOUNAAN,Wounaan,52,heart,th~a*r,,
WOUNAAN-53-1,WOUNAAN,Wounaan,53,liver,h3,,
WOUNAAN-54-1,WOUNAAN,Wounaan,54,drink,du,,
WOUNAAN-55-1,WOUNAAN,Wounaan,55,eat,kh~u,,
WOUNAAN-56-1,WOUNAAN,Wounaan,56,bite,kh~a,,
WOUNAAN-57-1,WOUNAAN,Wounaan,57,see,aSip,,
WOUNAAN-58-1,WOUNAAN,Wounaan,58,hear,u*r,,
WOUNAAN-59-1,WOUNAAN,Wounaan,59,know,kh~aug,,
WOUNAAN-59-2,WOUNAAN,Wounaan,59,know,kh~aph~u a,,
WOUNAAN-60-1,WOUNAAN,Wounaan,60,sleep,kh~a*i,,
WOUNAAN-61-1,WOUNAAN,Wounaan,61,die,me,,
WOUNAAN-61-2,WOUNAAN,Wounaan,61,die,th~o*,,
WOUNAAN-62-1,WOUNAAN,Wounaan,62,kill,th~o*o,,
WOUNAAN-63-1,WOUNAAN,Wounaan,63,swim,domer,,
WOUNAAN-64-1,WOUNAAN,Wounaan,64,fly,u*r,,
WOUNAAN-65-1,WOUNAAN,Wounaan,65,walk,nura,,
WOUNAAN-66-1,WOUNAAN,Wounaan,66,come,bu,,
WOUNAAN-67-1,WOUNAAN,Wounaan,67,lie,werba,,
WOUNAAN-68-1,WOUNAAN,Wounaan,68,sit,hup,,
