ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
WUMING_YONGBEI_ZHUANG-1-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,1,I,kau,,
WUMING_YONGBEI_ZHUANG-2-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,2,you,muN,,
WUMING_YONGBEI_ZHUANG-3-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,3,we,fanxau,,
WUMING_YONGBEI_ZHUANG-11-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,11,one,deu,,
WUMING_YONGBEI_ZHUANG-12-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,12,two,8oN,,
WUMING_YONGBEI_ZHUANG-18-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,18,person,wun,,
WUMING_YONGBEI_ZHUANG-19-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,19,fish,pla,,
WUMING_YONGBEI_ZHUANG-21-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,21,dog,ma,,
WUMING_YONGBEI_ZHUANG-22-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,22,louse,xau,,
WUMING_YONGBEI_ZHUANG-23-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,23,tree,fai,,
WUMING_YONGBEI_ZHUANG-25-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,25,leaf,bau,,
WUMING_YONGBEI_ZHUANG-28-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,28,skin,naN,,
WUMING_YONGBEI_ZHUANG-30-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,30,blood,lu3t,,
WUMING_YONGBEI_ZHUANG-31-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,31,bone,dok,,
WUMING_YONGBEI_ZHUANG-39-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,39,ear,xu,,
WUMING_YONGBEI_ZHUANG-40-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,40,eye,xa,,
WUMING_YONGBEI_ZHUANG-41-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,41,nose,daN,,
WUMING_YONGBEI_ZHUANG-43-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,43,tooth,fan,,
WUMING_YONGBEI_ZHUANG-44-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,44,tongue,lin,,
WUMING_YONGBEI_ZHUANG-48-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,48,hand,fau,,
WUMING_YONGBEI_ZHUANG-51-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,51,breast,nau,,
WUMING_YONGBEI_ZHUANG-53-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,53,liver,tap,,
WUMING_YONGBEI_ZHUANG-54-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,54,drink,ku,,
WUMING_YONGBEI_ZHUANG-57-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,57,see,xan,,
WUMING_YONGBEI_ZHUANG-58-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,58,hear,tiN,,
WUMING_YONGBEI_ZHUANG-61-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,61,die,xai,,
WUMING_YONGBEI_ZHUANG-66-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,66,come,ma,,
WUMING_YONGBEI_ZHUANG-66-2,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,66,come,tau,,
WUMING_YONGBEI_ZHUANG-72-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,72,sun,ky~aNNon,,
WUMING_YONGBEI_ZHUANG-74-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,74,star,daudai,,
WUMING_YONGBEI_ZHUANG-75-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,75,water,xam,,
WUMING_YONGBEI_ZHUANG-77-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,77,stone,xin,,
WUMING_YONGBEI_ZHUANG-82-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,82,fire,fai,,
WUMING_YONGBEI_ZHUANG-85-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,85,path,xon,,
WUMING_YONGBEI_ZHUANG-92-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,92,night,ky~aNNun,,
WUMING_YONGBEI_ZHUANG-96-1,WUMING_YONGBEI_ZHUANG,Wuming Yongbei Zhuang,96,new,mo,,
