ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
XANAGUIA_ZAPOTEC-1-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,1,I,na7,,
XANAGUIA_ZAPOTEC-2-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,2,you,lu7y~,,
XANAGUIA_ZAPOTEC-2-2,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,2,you,a7,,
XANAGUIA_ZAPOTEC-3-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,3,we,no,,
XANAGUIA_ZAPOTEC-3-2,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,3,we,n,,
XANAGUIA_ZAPOTEC-11-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,11,one,tib,,
XANAGUIA_ZAPOTEC-12-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,12,two,Cop,,
XANAGUIA_ZAPOTEC-18-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,18,person,men,,
XANAGUIA_ZAPOTEC-19-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,19,fish,mal,,
XANAGUIA_ZAPOTEC-21-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,21,dog,mEk,,
XANAGUIA_ZAPOTEC-22-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,22,louse,mkiy,,
XANAGUIA_ZAPOTEC-23-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,23,tree,yag,,
XANAGUIA_ZAPOTEC-25-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,25,leaf,blag,,
XANAGUIA_ZAPOTEC-28-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,28,skin,gid,,
XANAGUIA_ZAPOTEC-30-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,30,blood,jen,,
XANAGUIA_ZAPOTEC-31-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,31,bone,cit,,
XANAGUIA_ZAPOTEC-34-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,34,horn,kaC,,
XANAGUIA_ZAPOTEC-39-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,39,ear,dy~ag,,
XANAGUIA_ZAPOTEC-40-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,40,eye,lo,,
XANAGUIA_ZAPOTEC-40-2,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,40,eye,Ng~ud lo,,
XANAGUIA_ZAPOTEC-41-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,41,nose,Ziy,,
XANAGUIA_ZAPOTEC-43-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,43,tooth,talay,,
XANAGUIA_ZAPOTEC-43-2,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,43,tooth,kw~talay,,
XANAGUIA_ZAPOTEC-44-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,44,tongue,luc,,
XANAGUIA_ZAPOTEC-47-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,47,knee,Zib,,
XANAGUIA_ZAPOTEC-48-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,48,hand,na,,
XANAGUIA_ZAPOTEC-51-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,51,breast,Sic,,
XANAGUIA_ZAPOTEC-54-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,54,drink,a,,
XANAGUIA_ZAPOTEC-58-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,58,hear,on,,
XANAGUIA_ZAPOTEC-61-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,61,die,Et,,
XANAGUIA_ZAPOTEC-66-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,66,come,yad,,
XANAGUIA_ZAPOTEC-72-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,72,sun,mb~ic,,
XANAGUIA_ZAPOTEC-74-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,74,star,mel,,
XANAGUIA_ZAPOTEC-75-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,75,water,nis,,
XANAGUIA_ZAPOTEC-77-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,77,stone,ita,,
XANAGUIA_ZAPOTEC-77-2,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,77,stone,kw~ta,,
XANAGUIA_ZAPOTEC-82-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,82,fire,ki,,
XANAGUIA_ZAPOTEC-85-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,85,path,ny~az,,
XANAGUIA_ZAPOTEC-86-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,86,mountain,gi,,
XANAGUIA_ZAPOTEC-92-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,92,night,gy~al,,
XANAGUIA_ZAPOTEC-95-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,95,full,cE,,
XANAGUIA_ZAPOTEC-96-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,96,new,kub,,
XANAGUIA_ZAPOTEC-100-1,XANAGUIA_ZAPOTEC,Xanaguia Zapotec,100,name,lE,,
