ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
XEPINZIPINZI-1-1,XEPINZIPINZI,Xepinzipinzi,1,I,n,,
XEPINZIPINZI-1-2,XEPINZIPINZI,Xepinzipinzi,1,I,na,,
XEPINZIPINZI-2-1,XEPINZIPINZI,Xepinzipinzi,2,you,o,,
XEPINZIPINZI-3-1,XEPINZIPINZI,Xepinzipinzi,3,we,to,,
XEPINZIPINZI-11-1,XEPINZIPINZI,Xepinzipinzi,11,one,poko,,
XEPINZIPINZI-18-1,XEPINZIPINZI,Xepinzipinzi,18,person,oma,,
XEPINZIPINZI-19-1,XEPINZIPINZI,Xepinzipinzi,19,fish,5axa,,
XEPINZIPINZI-21-1,XEPINZIPINZI,Xepinzipinzi,21,dog,fa,,
XEPINZIPINZI-22-1,XEPINZIPINZI,Xepinzipinzi,22,louse,Ng~ina,,
XEPINZIPINZI-23-1,XEPINZIPINZI,Xepinzipinzi,23,tree,tete,,
XEPINZIPINZI-25-1,XEPINZIPINZI,Xepinzipinzi,25,leaf,dy~abi,,
XEPINZIPINZI-28-1,XEPINZIPINZI,Xepinzipinzi,28,skin,xobo,,
XEPINZIPINZI-30-1,XEPINZIPINZI,Xepinzipinzi,30,blood,nc~ina,,
XEPINZIPINZI-31-1,XEPINZIPINZI,Xepinzipinzi,31,bone,xepa,,
XEPINZIPINZI-34-1,XEPINZIPINZI,Xepinzipinzi,34,horn,ceba,,
XEPINZIPINZI-39-1,XEPINZIPINZI,Xepinzipinzi,39,ear,toi,,
XEPINZIPINZI-40-1,XEPINZIPINZI,Xepinzipinzi,40,eye,ico,,
XEPINZIPINZI-41-1,XEPINZIPINZI,Xepinzipinzi,41,nose,pomb~o,,
XEPINZIPINZI-43-1,XEPINZIPINZI,Xepinzipinzi,43,tooth,ino,,
XEPINZIPINZI-44-1,XEPINZIPINZI,Xepinzipinzi,44,tongue,nenele,,
XEPINZIPINZI-47-1,XEPINZIPINZI,Xepinzipinzi,47,knee,boNg~o,,
XEPINZIPINZI-51-1,XEPINZIPINZI,Xepinzipinzi,51,breast,mb~oma,,
XEPINZIPINZI-53-1,XEPINZIPINZI,Xepinzipinzi,53,liver,bumb~a,,
XEPINZIPINZI-54-1,XEPINZIPINZI,Xepinzipinzi,54,drink,oNg~,,
XEPINZIPINZI-61-1,XEPINZIPINZI,Xepinzipinzi,61,die,ixw~,,
XEPINZIPINZI-72-1,XEPINZIPINZI,Xepinzipinzi,72,sun,komb~e,,
XEPINZIPINZI-74-1,XEPINZIPINZI,Xepinzipinzi,74,star,daNg~a,,
XEPINZIPINZI-75-1,XEPINZIPINZI,Xepinzipinzi,75,water,iNg~o,,
XEPINZIPINZI-77-1,XEPINZIPINZI,Xepinzipinzi,77,stone,tale,,
XEPINZIPINZI-82-1,XEPINZIPINZI,Xepinzipinzi,82,fire,oi,,
XEPINZIPINZI-85-1,XEPINZIPINZI,Xepinzipinzi,85,path,pono,,
XEPINZIPINZI-86-1,XEPINZIPINZI,Xepinzipinzi,86,mountain,kodi,,
XEPINZIPINZI-92-1,XEPINZIPINZI,Xepinzipinzi,92,night,pici,,
XEPINZIPINZI-96-1,XEPINZIPINZI,Xepinzipinzi,96,new,e5ona,,
XEPINZIPINZI-100-1,XEPINZIPINZI,Xepinzipinzi,100,name,ina,,
