ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
XIDE-1-1,XIDE,Xide,1,I,Na,,
XIDE-2-1,XIDE,Xide,2,you,n3,,
XIDE-3-1,XIDE,Xide,3,we,Noxo,,
XIDE-11-1,XIDE,Xide,11,one,ch~3,,
XIDE-12-1,XIDE,Xide,12,two,5i,,
XIDE-18-1,XIDE,Xide,18,person,ch~o,,
XIDE-19-1,XIDE,Xide,19,fish,h3,,
XIDE-21-1,XIDE,Xide,21,dog,kh~3,,
XIDE-22-1,XIDE,Xide,22,louse,ch~oS3,,
XIDE-23-1,XIDE,Xide,23,tree,s3bo,,
XIDE-25-1,XIDE,Xide,25,leaf,ch~ich~i,,
XIDE-28-1,XIDE,Xide,28,skin,ndy$iS3,,
XIDE-30-1,XIDE,Xide,30,blood,s3,,
XIDE-31-1,XIDE,Xide,31,bone,vudu,,
XIDE-34-1,XIDE,Xide,34,horn,ofu,,
XIDE-39-1,XIDE,Xide,39,ear,hn3po,,
XIDE-40-1,XIDE,Xide,40,eye,5oc3,,
XIDE-41-1,XIDE,Xide,41,nose,hnabi,,
XIDE-43-1,XIDE,Xide,43,tooth,j3,,
XIDE-44-1,XIDE,Xide,44,tongue,hane,,
XIDE-47-1,XIDE,Xide,47,knee,baT37,,
XIDE-48-1,XIDE,Xide,48,hand,lo,,
XIDE-51-1,XIDE,Xide,51,breast,Nomo,,
XIDE-53-1,XIDE,Xide,53,liver,si,,
XIDE-54-1,XIDE,Xide,54,drink,nd~o,,
XIDE-57-1,XIDE,Xide,57,see,h3,,
XIDE-58-1,XIDE,Xide,58,hear,hna,,
XIDE-61-1,XIDE,Xide,61,die,s3,,
XIDE-66-1,XIDE,Xide,66,come,la,,
XIDE-72-1,XIDE,Xide,72,sun,hobu,,
XIDE-74-1,XIDE,Xide,74,star,mc3,,
XIDE-75-1,XIDE,Xide,75,water,y3,,
XIDE-77-1,XIDE,Xide,77,stone,luma,,
XIDE-82-1,XIDE,Xide,82,fire,mtu,,
XIDE-85-1,XIDE,Xide,85,path,gamo,,
XIDE-86-1,XIDE,Xide,86,mountain,bo,,
XIDE-92-1,XIDE,Xide,92,night,kh~3th~3mo,,
XIDE-95-1,XIDE,Xide,95,full,dy~i,,
XIDE-96-1,XIDE,Xide,96,new,aS37,,
XIDE-100-1,XIDE,Xide,100,name,hmi,,
