ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
XIPAYA-1-1,XIPAYA,Xipaya,1,I,una,,
XIPAYA-2-1,XIPAYA,Xipaya,2,you,ena,,
XIPAYA-3-1,XIPAYA,Xipaya,3,we,se,,
XIPAYA-11-1,XIPAYA,Xipaya,11,one,meme,,
XIPAYA-12-1,XIPAYA,Xipaya,12,two,b3da,,
XIPAYA-19-1,XIPAYA,Xipaya,19,fish,Sita,,
XIPAYA-21-1,XIPAYA,Xipaya,21,dog,ap3,,
XIPAYA-22-1,XIPAYA,Xipaya,22,louse,k3pa,,
XIPAYA-23-1,XIPAYA,Xipaya,23,tree,ipa,,
XIPAYA-25-1,XIPAYA,Xipaya,25,leaf,s3pa,,
XIPAYA-28-1,XIPAYA,Xipaya,28,skin,sa,,
XIPAYA-30-1,XIPAYA,Xipaya,30,blood,ap3ta,,
XIPAYA-31-1,XIPAYA,Xipaya,31,bone,pa*k3,,
XIPAYA-34-1,XIPAYA,Xipaya,34,horn,aSa,,
XIPAYA-39-1,XIPAYA,Xipaya,39,ear,a*nSiu*ka,,
XIPAYA-40-1,XIPAYA,Xipaya,40,eye,sea,,
XIPAYA-41-1,XIPAYA,Xipaya,41,nose,iam3kw~a,,
XIPAYA-43-1,XIPAYA,Xipaya,43,tooth,a5a,,
XIPAYA-44-1,XIPAYA,Xipaya,44,tongue,ku*a,,
XIPAYA-47-1,XIPAYA,Xipaya,47,knee,ma*,,
XIPAYA-48-1,XIPAYA,Xipaya,48,hand,ba,,
XIPAYA-51-1,XIPAYA,Xipaya,51,breast,pa*ja,,
XIPAYA-53-1,XIPAYA,Xipaya,53,liver,b3a,,
XIPAYA-54-1,XIPAYA,Xipaya,54,drink,wi,,
XIPAYA-57-1,XIPAYA,Xipaya,57,see,zaku,,
XIPAYA-58-1,XIPAYA,Xipaya,58,hear,and~u,,
XIPAYA-61-1,XIPAYA,Xipaya,61,die,5a*,,
XIPAYA-66-1,XIPAYA,Xipaya,66,come,w3a,,
XIPAYA-72-1,XIPAYA,Xipaya,72,sun,kw~azadi,,
XIPAYA-74-1,XIPAYA,Xipaya,74,star,n3nimb~3a,,
XIPAYA-75-1,XIPAYA,Xipaya,75,water,ia*,,
XIPAYA-77-1,XIPAYA,Xipaya,77,stone,k3apa,,
XIPAYA-82-1,XIPAYA,Xipaya,82,fire,aSi,,
XIPAYA-85-1,XIPAYA,Xipaya,85,path,bapa,,
XIPAYA-86-1,XIPAYA,Xipaya,86,mountain,tua,,
XIPAYA-95-1,XIPAYA,Xipaya,95,full,na*n3*,,
