ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
YAMDENA-1-1,YAMDENA,Yamdena,1,I,yaku,,
YAMDENA-2-1,YAMDENA,Yamdena,2,you,ko,,
YAMDENA-2-2,YAMDENA,Yamdena,2,you,kmi,,
YAMDENA-3-1,YAMDENA,Yamdena,3,we,kite,,
YAMDENA-3-2,YAMDENA,Yamdena,3,we,kami,,
YAMDENA-4-1,YAMDENA,Yamdena,4,this,iye,,
YAMDENA-5-1,YAMDENA,Yamdena,5,that,ane,,
YAMDENA-5-2,YAMDENA,Yamdena,5,that,ano,,
YAMDENA-6-1,YAMDENA,Yamdena,6,who,ise,,
YAMDENA-7-1,YAMDENA,Yamdena,7,what,safe,,
YAMDENA-8-1,YAMDENA,Yamdena,8,not,tate,,
YAMDENA-8-2,YAMDENA,Yamdena,8,not,to,,
YAMDENA-9-1,YAMDENA,Yamdena,9,all,fere,,
YAMDENA-9-2,YAMDENA,Yamdena,9,all,monuk,,
YAMDENA-11-1,YAMDENA,Yamdena,11,one,lese,,
YAMDENA-11-2,YAMDENA,Yamdena,11,one,sa,,
YAMDENA-12-1,YAMDENA,Yamdena,12,two,duwe,,
YAMDENA-13-1,YAMDENA,Yamdena,13,big,silai,,
YAMDENA-14-1,YAMDENA,Yamdena,14,long,lawas,,
YAMDENA-15-1,YAMDENA,Yamdena,15,small,rumat,,
YAMDENA-15-2,YAMDENA,Yamdena,15,small,kaianak,,
YAMDENA-16-1,YAMDENA,Yamdena,16,woman,bate,,
YAMDENA-17-1,YAMDENA,Yamdena,17,man,merwane,,
YAMDENA-18-1,YAMDENA,Yamdena,18,person,tomw~ate,,
YAMDENA-19-1,YAMDENA,Yamdena,19,fish,ian,,
YAMDENA-20-1,YAMDENA,Yamdena,20,bird,manik,,
YAMDENA-21-1,YAMDENA,Yamdena,21,dog,asu,,
YAMDENA-22-1,YAMDENA,Yamdena,22,louse,kutu,,
YAMDENA-25-1,YAMDENA,Yamdena,25,leaf,done,,
YAMDENA-26-1,YAMDENA,Yamdena,26,root,wakar,,
YAMDENA-28-1,YAMDENA,Yamdena,28,skin,kulit,,
YAMDENA-29-1,YAMDENA,Yamdena,29,flesh,isi,,
YAMDENA-30-1,YAMDENA,Yamdena,30,blood,dare,,
YAMDENA-31-1,YAMDENA,Yamdena,31,bone,duri,,
YAMDENA-32-1,YAMDENA,Yamdena,32,grease,minak,,
YAMDENA-35-1,YAMDENA,Yamdena,35,tail,ikur,,
YAMDENA-36-1,YAMDENA,Yamdena,36,feather,fulun,,
YAMDENA-37-1,YAMDENA,Yamdena,37,hair,buke,,
YAMDENA-38-1,YAMDENA,Yamdena,38,head,ulu,,
YAMDENA-39-1,YAMDENA,Yamdena,39,ear,tl~iNe,,
YAMDENA-40-1,YAMDENA,Yamdena,40,eye,mate,,
YAMDENA-41-1,YAMDENA,Yamdena,41,nose,irin,,
YAMDENA-42-1,YAMDENA,Yamdena,42,mouth,susuke,,
YAMDENA-43-1,YAMDENA,Yamdena,43,tooth,nife,,
YAMDENA-44-1,YAMDENA,Yamdena,44,tongue,keri,,
YAMDENA-46-1,YAMDENA,Yamdena,46,foot,eme,,
YAMDENA-48-1,YAMDENA,Yamdena,48,hand,lime,,
YAMDENA-49-1,YAMDENA,Yamdena,49,belly,kamb~u,,
YAMDENA-50-1,YAMDENA,Yamdena,50,neck,nawe,,
YAMDENA-50-2,YAMDENA,Yamdena,50,neck,manuk,,
YAMDENA-51-1,YAMDENA,Yamdena,51,breast,susu,,
YAMDENA-53-1,YAMDENA,Yamdena,53,liver,ate,,
YAMDENA-54-1,YAMDENA,Yamdena,54,drink,anum,,
YAMDENA-55-1,YAMDENA,Yamdena,55,eat,ane,,
YAMDENA-56-1,YAMDENA,Yamdena,56,bite,karat,,
YAMDENA-57-1,YAMDENA,Yamdena,57,see,keban,,
YAMDENA-58-1,YAMDENA,Yamdena,58,hear,deNar,,
YAMDENA-59-1,YAMDENA,Yamdena,59,know,fai,,
YAMDENA-60-1,YAMDENA,Yamdena,60,sleep,owe,,
YAMDENA-61-1,YAMDENA,Yamdena,61,die,mat,,
YAMDENA-62-1,YAMDENA,Yamdena,62,kill,fen,,
YAMDENA-63-1,YAMDENA,Yamdena,63,swim,kawal,,
YAMDENA-64-1,YAMDENA,Yamdena,64,fly,turim,,
YAMDENA-65-1,YAMDENA,Yamdena,65,walk,mb~an,,
YAMDENA-65-2,YAMDENA,Yamdena,65,walk,fala,,
YAMDENA-66-1,YAMDENA,Yamdena,66,come,ma,,
YAMDENA-67-1,YAMDENA,Yamdena,67,lie,leNan,,
YAMDENA-67-2,YAMDENA,Yamdena,67,lie,narwa,,
YAMDENA-68-1,YAMDENA,Yamdena,68,sit,mtoran,,
YAMDENA-69-1,YAMDENA,Yamdena,69,stand,mdir,,
YAMDENA-71-1,YAMDENA,Yamdena,71,say,bet,,
YAMDENA-71-2,YAMDENA,Yamdena,71,say,falak,,
YAMDENA-73-1,YAMDENA,Yamdena,73,moon,bulan,,
YAMDENA-74-1,YAMDENA,Yamdena,74,star,ftune,,
YAMDENA-75-1,YAMDENA,Yamdena,75,water,weye,,
YAMDENA-76-1,YAMDENA,Yamdena,76,rain,udan,,
YAMDENA-77-1,YAMDENA,Yamdena,77,stone,bati,,
YAMDENA-78-1,YAMDENA,Yamdena,78,sand,knjai,,
YAMDENA-79-1,YAMDENA,Yamdena,79,earth,omb~ak,,
YAMDENA-80-1,YAMDENA,Yamdena,80,cloud,mutan,,
YAMDENA-81-1,YAMDENA,Yamdena,81,smoke,masu,,
YAMDENA-83-1,YAMDENA,Yamdena,83,ash,afu,,
YAMDENA-84-1,YAMDENA,Yamdena,84,burn,apu,,
YAMDENA-85-1,YAMDENA,Yamdena,85,path,dalamtene,,
YAMDENA-87-1,YAMDENA,Yamdena,87,red,memeye,,
YAMDENA-88-1,YAMDENA,Yamdena,88,green,lakteru,,
YAMDENA-88-2,YAMDENA,Yamdena,88,green,lakwatan,,
YAMDENA-89-1,YAMDENA,Yamdena,89,yellow,lakteru,,
YAMDENA-90-1,YAMDENA,Yamdena,90,white,futi,,
YAMDENA-91-1,YAMDENA,Yamdena,91,black,metam,,
YAMDENA-92-1,YAMDENA,Yamdena,92,night,nd~ond~am,,
YAMDENA-93-1,YAMDENA,Yamdena,93,hot,fanas,,
YAMDENA-94-1,YAMDENA,Yamdena,94,cold,nd~irun,,
YAMDENA-94-2,YAMDENA,Yamdena,94,cold,rind~in,,
YAMDENA-97-1,YAMDENA,Yamdena,97,good,mone,,
YAMDENA-99-1,YAMDENA,Yamdena,99,dry,Nretu,,
YAMDENA-100-1,YAMDENA,Yamdena,100,name,Nare,,
