ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
YARIBA-1-1,YARIBA,Yariba,1,I,nambaruna,,
YARIBA-2-1,YARIBA,Yariba,2,you,5amb3r3,,
YARIBA-2-2,YARIBA,Yariba,2,you,nimbar3,,
YARIBA-11-1,YARIBA,Yariba,11,one,waman,,
YARIBA-12-1,YARIBA,Yariba,12,two,raman,,
YARIBA-21-1,YARIBA,Yariba,21,dog,wuna,,
YARIBA-22-1,YARIBA,Yariba,22,louse,rema,,
YARIBA-23-1,YARIBA,Yariba,23,tree,isa,,
YARIBA-23-2,YARIBA,Yariba,23,tree,iCa,,
YARIBA-25-1,YARIBA,Yariba,25,leaf,soma,,
YARIBA-25-2,YARIBA,Yariba,25,leaf,Coma,,
YARIBA-28-1,YARIBA,Yariba,28,skin,yanuNkh~,,
YARIBA-30-1,YARIBA,Yariba,30,blood,wa,,
YARIBA-31-1,YARIBA,Yariba,31,bone,hoNgo,,
YARIBA-39-1,YARIBA,Yariba,39,ear,areNk7,,
YARIBA-40-1,YARIBA,Yariba,40,eye,ra,,
YARIBA-43-1,YARIBA,Yariba,43,tooth,ne,,
YARIBA-43-2,YARIBA,Yariba,43,tooth,na*,,
YARIBA-44-1,YARIBA,Yariba,44,tongue,ket7,,
YARIBA-48-1,YARIBA,Yariba,48,hand,kigo,,
YARIBA-51-1,YARIBA,Yariba,51,breast,andu,,
YARIBA-57-1,YARIBA,Yariba,57,see,nda,,
YARIBA-58-1,YARIBA,Yariba,58,hear,tar3birim,,
YARIBA-61-1,YARIBA,Yariba,61,die,waZ3 marox3 maram,,
YARIBA-66-1,YARIBA,Yariba,66,come,ya,,
YARIBA-72-1,YARIBA,Yariba,72,sun,nai,,
YARIBA-74-1,YARIBA,Yariba,74,star,kui,,
YARIBA-75-1,YARIBA,Yariba,75,water,iba,,
YARIBA-77-1,YARIBA,Yariba,77,stone,ana,,
YARIBA-82-1,YARIBA,Yariba,82,fire,isata,,
YARIBA-85-1,YARIBA,Yariba,85,path,xasa,,
YARIBA-85-2,YARIBA,Yariba,85,path,xaCe,,
YARIBA-86-1,YARIBA,Yariba,86,mountain,mandaX,,
YARIBA-92-1,YARIBA,Yariba,92,night,waugat,,
YARIBA-95-1,YARIBA,Yariba,95,full,t7umbaram,,
YARIBA-96-1,YARIBA,Yariba,96,new,wanaNk7,,
YARIBA-100-1,YARIBA,Yariba,100,name,NgaNk,,
