ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ZAPOTEC_MITLA-1-1,ZAPOTEC_MITLA,Zapotec Mitla,1,I,nar3,,
ZAPOTEC_MITLA-2-1,ZAPOTEC_MITLA,Zapotec Mitla,2,you,lux,,
ZAPOTEC_MITLA-3-1,ZAPOTEC_MITLA,Zapotec Mitla,3,we,nurnu,,
ZAPOTEC_MITLA-11-1,ZAPOTEC_MITLA,Zapotec Mitla,11,one,te,,
ZAPOTEC_MITLA-11-2,ZAPOTEC_MITLA,Zapotec Mitla,11,one,teb,,
ZAPOTEC_MITLA-12-1,ZAPOTEC_MITLA,Zapotec Mitla,12,two,tiop,,
ZAPOTEC_MITLA-18-1,ZAPOTEC_MITLA,Zapotec Mitla,18,person,ben,,
ZAPOTEC_MITLA-19-1,ZAPOTEC_MITLA,Zapotec Mitla,19,fish,b3l,,
ZAPOTEC_MITLA-21-1,ZAPOTEC_MITLA,Zapotec Mitla,21,dog,b3kw~,,
ZAPOTEC_MITLA-22-1,ZAPOTEC_MITLA,Zapotec Mitla,22,louse,bec,,
ZAPOTEC_MITLA-23-1,ZAPOTEC_MITLA,Zapotec Mitla,23,tree,yag,,
ZAPOTEC_MITLA-25-1,ZAPOTEC_MITLA,Zapotec Mitla,25,leaf,balag,,
ZAPOTEC_MITLA-28-1,ZAPOTEC_MITLA,Zapotec Mitla,28,skin,gid,,
ZAPOTEC_MITLA-30-1,ZAPOTEC_MITLA,Zapotec Mitla,30,blood,ren,,
ZAPOTEC_MITLA-31-1,ZAPOTEC_MITLA,Zapotec Mitla,31,bone,cut,,
ZAPOTEC_MITLA-34-1,ZAPOTEC_MITLA,Zapotec Mitla,34,horn,kaC,,
ZAPOTEC_MITLA-39-1,ZAPOTEC_MITLA,Zapotec Mitla,39,ear,diag,,
ZAPOTEC_MITLA-40-1,ZAPOTEC_MITLA,Zapotec Mitla,40,eye,bisialox,,
ZAPOTEC_MITLA-40-2,ZAPOTEC_MITLA,Zapotec Mitla,40,eye,balox,,
ZAPOTEC_MITLA-41-1,ZAPOTEC_MITLA,Zapotec Mitla,41,nose,Si7,,
ZAPOTEC_MITLA-43-1,ZAPOTEC_MITLA,Zapotec Mitla,43,tooth,l3y,,
ZAPOTEC_MITLA-44-1,ZAPOTEC_MITLA,Zapotec Mitla,44,tongue,luZ,,
ZAPOTEC_MITLA-47-1,ZAPOTEC_MITLA,Zapotec Mitla,47,knee,yekSib,,
ZAPOTEC_MITLA-48-1,ZAPOTEC_MITLA,Zapotec Mitla,48,hand,na,,
ZAPOTEC_MITLA-51-1,ZAPOTEC_MITLA,Zapotec Mitla,51,breast,dud,,
ZAPOTEC_MITLA-53-1,ZAPOTEC_MITLA,Zapotec Mitla,53,liver,lastogix,,
ZAPOTEC_MITLA-54-1,ZAPOTEC_MITLA,Zapotec Mitla,54,drink,r3,,
ZAPOTEC_MITLA-57-1,ZAPOTEC_MITLA,Zapotec Mitla,57,see,ruwi,,
ZAPOTEC_MITLA-57-2,ZAPOTEC_MITLA,Zapotec Mitla,57,see,rie,,
ZAPOTEC_MITLA-58-1,ZAPOTEC_MITLA,Zapotec Mitla,58,hear,rien,,
ZAPOTEC_MITLA-61-1,ZAPOTEC_MITLA,Zapotec Mitla,61,die,ret,,
ZAPOTEC_MITLA-66-1,ZAPOTEC_MITLA,Zapotec Mitla,66,come,ri3d,,
ZAPOTEC_MITLA-72-1,ZAPOTEC_MITLA,Zapotec Mitla,72,sun,gubiZ,,
ZAPOTEC_MITLA-74-1,ZAPOTEC_MITLA,Zapotec Mitla,74,star,balSagiba,,
ZAPOTEC_MITLA-75-1,ZAPOTEC_MITLA,Zapotec Mitla,75,water,nis,,
ZAPOTEC_MITLA-77-1,ZAPOTEC_MITLA,Zapotec Mitla,77,stone,gix,,
ZAPOTEC_MITLA-82-1,ZAPOTEC_MITLA,Zapotec Mitla,82,fire,gibo,,
ZAPOTEC_MITLA-85-1,ZAPOTEC_MITLA,Zapotec Mitla,85,path,nes,,
ZAPOTEC_MITLA-86-1,ZAPOTEC_MITLA,Zapotec Mitla,86,mountain,dan,,
ZAPOTEC_MITLA-92-1,ZAPOTEC_MITLA,Zapotec Mitla,92,night,y3l,,
ZAPOTEC_MITLA-96-1,ZAPOTEC_MITLA,Zapotec Mitla,96,new,nakobni,,
ZAPOTEC_MITLA-100-1,ZAPOTEC_MITLA,Zapotec Mitla,100,name,lax,,
