ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ZARMA-1-1,ZARMA,Zarma,1,I,ay,,
ZARMA-2-1,ZARMA,Zarma,2,you,ni,,
ZARMA-3-1,ZARMA,Zarma,3,we,iri,,
ZARMA-11-1,ZARMA,Zarma,11,one,fo,,
ZARMA-12-1,ZARMA,Zarma,12,two,hinka,,
ZARMA-18-1,ZARMA,Zarma,18,person,alboro,,
ZARMA-19-1,ZARMA,Zarma,19,fish,hamisa,,
ZARMA-21-1,ZARMA,Zarma,21,dog,hansi,,
ZARMA-22-1,ZARMA,Zarma,22,louse,gani,,
ZARMA-23-1,ZARMA,Zarma,23,tree,turinya,,
ZARMA-25-1,ZARMA,Zarma,25,leaf,kobto,,
ZARMA-28-1,ZARMA,Zarma,28,skin,kuru,,
ZARMA-30-1,ZARMA,Zarma,30,blood,kuri,,
ZARMA-31-1,ZARMA,Zarma,31,bone,biri,,
ZARMA-34-1,ZARMA,Zarma,34,horn,hili,,
ZARMA-39-1,ZARMA,Zarma,39,ear,hanga,,
ZARMA-40-1,ZARMA,Zarma,40,eye,mo,,
ZARMA-41-1,ZARMA,Zarma,41,nose,nine,,
ZARMA-43-1,ZARMA,Zarma,43,tooth,ninTe,,
ZARMA-44-1,ZARMA,Zarma,44,tongue,dene,,
ZARMA-47-1,ZARMA,Zarma,47,knee,kange,,
ZARMA-48-1,ZARMA,Zarma,48,hand,kambe,,
ZARMA-51-1,ZARMA,Zarma,51,breast,fafe,,
ZARMA-53-1,ZARMA,Zarma,53,liver,tasa,,
ZARMA-54-1,ZARMA,Zarma,54,drink,haN,,
ZARMA-57-1,ZARMA,Zarma,57,see,di,,
ZARMA-58-1,ZARMA,Zarma,58,hear,ma,,
ZARMA-61-1,ZARMA,Zarma,61,die,bu,,
ZARMA-66-1,ZARMA,Zarma,66,come,ka,,
ZARMA-72-1,ZARMA,Zarma,72,sun,wayno,,
ZARMA-74-1,ZARMA,Zarma,74,star,handarayze,,
ZARMA-75-1,ZARMA,Zarma,75,water,hari,,
ZARMA-77-1,ZARMA,Zarma,77,stone,tondi,,
ZARMA-82-1,ZARMA,Zarma,82,fire,danTi,,
ZARMA-85-1,ZARMA,Zarma,85,path,fondo,,
ZARMA-92-1,ZARMA,Zarma,92,night,cini,,
ZARMA-95-1,ZARMA,Zarma,95,full,to,,
ZARMA-96-1,ZARMA,Zarma,96,new,taTi,,
ZARMA-100-1,ZARMA,Zarma,100,name,ma,,
